dangling_strand count
1 2399
2 429
3 593
4 474
5 52
6 399
7 282
8 30
9 101
10 119
11 23
12 46
13 49
14 12
15 31
16 32
17 8
18 16
19 19
20 4
21 8
22 12
23 8
24 10
25 9
26 4
27 2
28 4
29 1
30 4
31 1
33 4
34 2
35 1
38 1
39 2
44 1
45 1
48 1
primary_loop_size data
4.0 15
5.0 23
6.0 48
7.0 6
8.0 14
9.0 8
10.0 2
11.0 1
12.0 2
13.0 2
14.0 1
18.0 1
secondary_loop_size data
3.0 58
4.0 52
5.0 42
6.0 15
7.0 23
8.0 20
9.0 9
10.0 8
11.0 3
12.0 1
13.0 4
14.0 2
15.0 1
16.0 2
17.0 1
22.0 1
tertiary_loop_size data
2.0 42
3.0 41
4.0 41
5.0 18
6.0 37
7.0 27
8.0 17
9.0 15
10.0 7
11.0 9
12.0 5
13.0 9
14.0 10
15.0 3
16.0 5
17.0 2
18.0 2
19.0 3
20.0 2
23.0 1
33.0 1
quaternary_loop_size data
2.0 15
3.0 15
4.0 28
5.0 28
6.0 20
7.0 15
8.0 16
9.0 23
10.0 15
11.0 19
12.0 9
13.0 9
14.0 6
15.0 8
16.0 3
17.0 4
18.0 1
19.0 4
20.0 3
21.0 5
22.0 2
23.0 4
25.0 1
26.0 1
27.0 1
