dangling_strand data
1 347
5 253
7 88
10 5
11 113
13 44
14 2
16 3
17 48
18 2
19 20
20 2
22 2
23 31
24 1
25 9
28 1
29 13
30 1
31 7
32 1
34 3
35 10
36 1
37 4
41 5
42 1
43 4
46 1
51 1
52 1
53 1
55 1
56 1
61 1
67 1
71 1
78 1
83 1
primary_loop_size data
6.0 310
12.0 63
18.0 10
19.0 2
20.0 2
24.0 3
25.0 1
30.0 1
42.0 2
43.0 1
55.0 1
secondary_loop_size data
12.0 55
18.0 28
24.0 14
25.0 2
30.0 8
36.0 4
37.0 1
60.0 1
66.0 1
74.0 1
tertiary_loop_size data
12.0 3
18.0 29
24.0 17
25.0 2
30.0 18
31.0 3
36.0 6
37.0 1
42.0 6
48.0 6
49.0 2
54.0 3
55.0 1
60.0 2
61.0 1
quaternary_loop_size data
18.0 2
24.0 18
30.0 15
31.0 1
36.0 22
37.0 2
42.0 8
43.0 3
48.0 17
49.0 3
54.0 6
60.0 4
61.0 2
66.0 2
67.0 2
72.0 1
73.0 2
78.0 2
90.0 2
