cluster_size count
292 1
252 1
244 1
240 1
234 2
222 2
218 1
216 1
212 1
204 2
202 1
200 2
198 3
196 1
194 1
192 1
190 1
188 1
186 1
184 1
180 1
178 1
176 1
172 1
170 1
168 1
160 3
158 2
156 3
154 4
150 1
148 2
146 3
144 2
142 2
140 4
138 3
136 3
134 1
132 4
130 3
128 2
126 6
124 2
122 8
120 6
118 1
116 1
114 8
112 2
110 7
108 8
106 4
104 3
102 9
100 3
98 4
96 8
94 1
92 4
90 8
88 5
86 7
84 8
82 9
80 13
78 17
76 3
74 10
72 16
70 13
68 8
66 18
64 10
62 7
60 24
58 13
56 13
54 31
52 15
50 11
48 36
46 11
44 21
42 32
40 12
38 21
36 34
34 19
32 27
30 43
28 27
26 30
24 49
22 33
20 27
18 64
16 44
14 41
12 101
10 36
8 59
6 288
4 159
2 105
