strand_size count
2 105
4 159
6 288
8 59
10 36
12 101
14 41
16 44
18 64
20 27
22 33
24 49
26 30
28 27
30 43
32 27
34 19
36 34
38 21
40 12
42 32
44 21
46 11
48 36
50 11
52 15
54 31
56 13
58 13
60 24
62 7
64 10
66 18
68 8
70 13
72 16
74 10
76 3
78 17
80 13
82 9
84 8
86 7
88 5
90 8
92 4
94 1
96 8
98 4
100 3
102 9
104 3
106 4
108 8
110 7
112 2
114 8
116 1
118 1
120 6
122 8
124 2
126 6
128 2
130 3
132 4
134 1
136 3
138 3
140 4
142 2
144 2
146 3
148 2
150 1
154 4
156 3
158 2
160 3
168 1
170 1
172 1
176 1
178 1
180 1
184 1
186 1
188 1
190 1
192 1
194 1
196 1
198 3
200 2
202 1
204 2
212 1
216 1
218 1
222 2
234 2
240 1
244 1
252 1
292 1
