frame thiol_conversion ene_conversion
0 0.004676421783074369 0.0026829818710664144
1 0.008598581988233489 0.01020536094882274
2 0.012621310403781338 0.014267445650811172
3 0.01634233418816311 0.018229231965096182
4 0.020415346708905324 0.022291316667084615
5 0.024438075124453174 0.026303252175221337
6 0.028410519434806658 0.030014292520247787
7 0.031980690903605336 0.033675183671422526
8 0.03615427163473628 0.0374865224041524
9 0.03997586362950667 0.04139815952458559
10 0.04359631920349982 0.04515934906346375
11 0.047216774777492865 0.04907098618389705
12 0.0504349575099311 0.05202978862114793
13 0.053552572031980716 0.05528948622150898
14 0.05697189118519641 0.058649482209573445
15 0.060290642128023375 0.062059627391489736
16 0.06386081359682205 0.06562022015496105
17 0.06717956453964902 0.06857902259221182
18 0.07054859958767035 0.07234021213108999
19 0.0744204756876351 0.07600110328226473
20 0.07809121536682251 0.07966199443343946
21 0.08156081862523257 0.0828715428399488
22 0.08543269472519732 0.08673303076653038
23 0.0894051390355508 0.09094556305007395
24 0.09277417408357214 0.09430555903813842
25 0.09669633428873137 0.09821719615857172
26 0.10056821038869612 0.10172763972819132
27 0.10363554080555137 0.10523808329781104
28 0.1070045758535727 0.10824703492891352
29 0.1104238950067884 0.11160703091697799
30 0.11414491879117006 0.115568817231263
31 0.11771509025996885 0.11953060354554801
32 0.12123497762357316 0.12243925678894707
33 0.12480514909237195 0.12635089390938037
34 0.12892844571830842 0.12986133747899997
35 0.13199577613516367 0.13322133346706455
36 0.13526424297279627 0.13618013590431532
37 0.13883441444159506 0.1399413254431935
38 0.14180117664806158 0.1434517690128131
39 0.14486850706491683 0.1464607206439157
40 0.14698043948307937 0.14856698678568747
41 0.150098054005129 0.15157593841678996
42 0.15331623673756722 0.15473533762944758
43 0.15678583999597728 0.15774428926055017
44 0.15985317041283253 0.16125473283016978
45 0.16287021672449342 0.16421353526742055
46 0.1664403881932921 0.16737293448007828
47 0.16895459345300945 0.1704821844988842
48 0.17192135565947608 0.17334068854843154
49 0.17498868607633122 0.17629949098568243
50 0.17770402775682603 0.17895739825982293
51 0.18132448333081908 0.1822170958601841
52 0.18464323427364615 0.18552694265439684
53 0.18745914416452958 0.18858604347935104
54 0.19027505405541312 0.19159499511045364
55 0.193292100367074 0.1945537975477044
56 0.1965605672047066 0.19766304756651032
57 0.200382159199477 0.2015245354930919
58 0.20344948961633225 0.20468393470574964
59 0.20626539950721579 0.20774303553070383
60 0.2090813093980992 0.21040094280484445
61 0.21194750339417712 0.21310899927283666
62 0.21501483381103237 0.2163185476793461
63 0.21813244833308187 0.21917705172889346
64 0.2210992105395484 0.22228630174769937
65 0.22386483632523757 0.2249943582156917
66 0.22708301905767592 0.22785286226523904
67 0.22979836073817062 0.23061106792708308
68 0.23206114547191636 0.23311852761966856
69 0.2351284758887715 0.2359268824753642
70 0.23724040830693416 0.23863493894335652
71 0.2403077387237894 0.24129284621749703
72 0.2427716598783125 0.24390060429778593
73 0.2461909790315281 0.24695970512274013
74 0.24915774123799472 0.2502194027231013
75 0.25197365112887815 0.25322835435420377
76 0.2548901292301503 0.2556355156590858
77 0.25810831196258865 0.25879491487174344
78 0.2607733695378891 0.2620044632782528
79 0.2638909840599386 0.26456207216468997
80 0.2674611555287374 0.2682229633158647
81 0.2702770654196208 0.2711817657531155
82 0.27394780509880823 0.27454176174118006
83 0.2764620103585257 0.27750056417843083
84 0.2788756474078544 0.280058173064868
85 0.2816412731935435 0.2826659311451568
86 0.2845074671896214 0.28537398761314914
87 0.28661939960778393 0.2874802537549209
88 0.28943530949866747 0.29038890699832
89 0.29189923065319057 0.29284621749705375
90 0.2946145723336854 0.2956044231588977
91 0.29652536833107057 0.29771068930066946
92 0.2990898576959823 0.29991725383014467
93 0.301654347060894 0.3022241167473233
94 0.30406798411022273 0.30463127805220536
