cluster_size count
40088 1
739 1
571 1
444 1
350 1
326 1
283 1
261 1
217 1
211 1
182 1
167 1
165 1
160 1
159 1
158 1
146 1
136 1
132 1
122 1
118 1
110 1
109 1
107 1
103 1
96 1
94 2
93 1
92 1
88 3
87 1
86 1
84 1
82 1
80 1
79 1
77 3
75 2
74 1
73 1
72 3
71 3
70 1
69 2
68 1
66 1
65 3
62 1
61 2
60 4
59 1
58 1
57 3
56 2
55 3
54 5
53 3
52 1
51 3
50 2
49 4
48 2
47 2
46 2
45 4
44 3
42 10
41 2
40 6
39 1
38 7
37 1
36 9
35 2
34 4
33 5
32 3
31 3
30 15
29 4
28 12
27 7
26 8
25 10
24 23
23 1
22 11
21 4
20 10
19 5
18 32
17 6
16 35
15 3
14 26
13 8
12 64
11 4
10 51
9 2
8 22
6 214
5 8
4 221
2 130
