frame thiol_conversion ene_conversion
0 0.0010137875101379201 0.004568296025582508
1 0.005423763179237651 0.014770823816049994
2 0.008972019464720149 0.0243134866250444
3 0.013787510137875048 0.03466829094969803
4 0.017133008921330073 0.04421095375869244
5 0.02123884833738854 0.05375361656768696
6 0.025547445255474477 0.0641591797370692
7 0.028740875912408814 0.07324501294350538
8 0.03193430656934304 0.08222932846048425
9 0.035786699107867026 0.09217806202730827
10 0.04014598540145986 0.10151768945738793
11 0.04420113544201132 0.11136490533475463
12 0.048306974858069784 0.1200446677833612
13 0.05231143552311435 0.12902898330034007
14 0.055606244931062476 0.13725191614638854
15 0.05945863746958635 0.14542409014770818
16 0.06305758313057586 0.15547434140398964
17 0.06655515004055146 0.16395106847368157
18 0.06995133819951338 0.17222476016445865
19 0.0745640713706407 0.18176742297345316
20 0.07856853203568537 0.19039642657733113
21 0.08267437145174372 0.19821328866555
22 0.08657745336577449 0.20745139840617233
23 0.0900750202757502 0.21582660778640683
24 0.09413017031630166 0.2251662352164865
25 0.09833738848337392 0.23404903304400793
26 0.10183495539334952 0.24206893051114153
27 0.10507907542579076 0.24922592761788742
28 0.10862733171127337 0.2573981016192072
29 0.11192214111922139 0.2647581341048678
30 0.11471005677210055 0.2719151312116136
31 0.11846107055961075 0.27978275214456116
32 0.12165450121654497 0.2867874727171209
33 0.12550689375506896 0.2940459875133242
34 0.12834549878345503 0.30094919039642654
35 0.13164030819140304 0.30785239327952896
36 0.13539132197891324 0.3148571138520887
37 0.1382299270072993 0.3216587990457337
38 0.1417781832927818 0.3291711080655805
39 0.14497161394971614 0.3353636871224811
40 0.14851987023519875 0.34241916653976956
41 0.15120640713706412 0.3491193340439571
42 0.15353811841038123 0.3558195015481448
43 0.15693430656934304 0.3626719455865185
44 0.16012773722627738 0.36901680117760516
45 0.16327047850770482 0.3763260748185371
46 0.16661597729115973 0.3839399015278412
47 0.1694038929440389 0.39018323942947064
48 0.17269870235198703 0.39662961271001473
