dangling_strand data
1 497
2 53
3 1122
4 675
5 5
6 306
7 92
8 9
9 198
10 116
11 2
12 71
13 20
14 2
15 53
16 45
17 1
18 25
19 10
20 4
21 26
22 11
24 17
25 7
26 1
27 9
28 12
30 12
31 1
32 1
33 4
34 5
36 6
37 3
39 2
40 4
45 1
46 3
48 1
51 1
55 1
60 1
64 1
81 1
127 1
primary_loop_size data
2.0 128
4.0 37
5.0 47
6.0 9
7.0 14
8.0 10
9.0 2
10.0 5
11.0 4
12.0 1
13.0 2
14.0 1
16.0 1
17.0 2
23.0 1
secondary_loop_size data
1.0 83
3.0 86
4.0 38
5.0 18
6.0 25
7.0 18
8.0 13
9.0 4
10.0 2
11.0 3
12.0 4
13.0 4
14.0 4
15.0 2
16.0 4
18.0 1
tertiary_loop_size data
1.0 4
2.0 48
3.0 46
4.0 26
5.0 29
6.0 23
7.0 19
8.0 13
9.0 17
10.0 9
11.0 7
12.0 7
13.0 2
14.0 5
15.0 5
16.0 4
17.0 3
18.0 3
19.0 3
20.0 3
21.0 1
23.0 1
27.0 1
29.0 1
quaternary_loop_size data
2.0 13
3.0 16
4.0 17
5.0 15
6.0 19
7.0 17
8.0 16
9.0 10
10.0 12
11.0 10
12.0 10
13.0 3
14.0 8
15.0 2
16.0 5
17.0 5
18.0 2
19.0 5
20.0 3
21.0 4
22.0 1
23.0 1
25.0 3
27.0 1
28.0 1
46.0 1
