cluster_size count
41904 1
600 1
572 1
478 1
325 1
261 1
247 1
206 1
190 1
189 1
183 1
175 1
173 2
166 1
156 1
151 1
147 1
144 1
140 1
138 1
129 1
128 1
127 1
126 1
125 1
122 1
117 1
112 1
111 1
109 1
101 2
100 1
97 1
96 1
94 3
93 1
91 1
90 4
84 5
82 3
80 1
78 4
77 1
76 4
75 1
74 1
73 1
70 1
69 1
67 1
66 3
64 5
62 6
61 1
60 3
58 6
57 2
55 1
54 4
53 1
51 1
50 4
48 9
46 1
45 1
44 6
42 7
41 1
39 1
38 5
37 2
36 9
35 1
34 8
32 5
30 13
28 6
26 11
25 2
24 17
23 1
22 14
21 1
20 2
18 26
16 20
15 2
14 13
13 2
12 46
11 2
10 20
8 20
6 187
5 1
4 71
2 32
