dangle_size count
2 32
4 71
5 65
6 187
7 51
8 20
10 20
11 44
12 46
13 44
14 13
15 2
16 20
17 39
18 26
19 40
20 2
21 1
22 14
23 42
24 17
25 32
26 11
28 6
29 24
30 13
31 18
32 5
34 8
35 21
36 9
37 28
38 5
39 1
41 15
42 7
43 18
44 6
45 1
46 1
47 15
48 9
49 13
50 4
51 1
53 12
54 4
55 14
57 2
58 6
59 12
60 3
61 9
62 6
64 5
65 5
66 3
67 5
69 1
70 1
71 12
73 10
74 1
75 1
76 4
77 8
78 4
79 3
80 1
82 3
83 6
84 5
85 1
89 5
90 4
91 4
93 1
94 3
95 2
96 1
97 6
100 1
101 5
103 3
107 2
109 2
111 1
112 1
113 3
115 1
117 1
119 3
121 1
122 1
125 2
126 1
127 3
128 1
129 1
131 1
138 1
139 1
140 1
144 1
147 1
149 1
151 1
156 1
166 1
167 1
173 3
175 2
183 1
189 1
190 1
206 1
247 1
261 1
325 1
478 1
572 1
600 1
