dangling_strand data
1 672
5 529
7 198
10 22
11 216
13 87
14 9
16 15
17 96
18 8
19 52
20 10
22 16
23 36
24 11
25 17
26 7
28 6
29 18
30 10
31 7
32 9
34 5
35 6
36 2
37 3
38 5
39 3
40 5
41 7
42 6
44 5
45 3
46 1
47 3
48 3
49 2
50 3
51 1
52 3
53 2
54 3
55 2
56 4
58 1
59 1
60 2
61 2
62 2
63 1
67 1
69 1
75 1
76 1
77 1
78 1
79 1
81 1
82 1
89 1
90 1
94 1
108 1
110 1
138 1
primary_loop_size data
6.0 237
12.0 33
13.0 6
18.0 13
19.0 6
24.0 2
25.0 1
31.0 1
32.0 3
secondary_loop_size data
12.0 28
18.0 12
19.0 1
24.0 2
25.0 4
26.0 1
30.0 4
31.0 1
36.0 1
37.0 2
50.0 1
57.0 1
62.0 1
tertiary_loop_size data
12.0 1
18.0 1
24.0 9
25.0 4
30.0 4
31.0 1
36.0 6
37.0 1
38.0 2
42.0 2
43.0 1
51.0 1
55.0 1
70.0 1
79.0 1
107.0 1
quaternary_loop_size data
18.0 1
24.0 7
30.0 5
36.0 5
37.0 3
38.0 1
43.0 2
44.0 1
48.0 4
49.0 7
50.0 1
55.0 3
60.0 2
61.0 3
62.0 1
73.0 3
80.0 2
85.0 1
100.0 1
