dangling_strand count
1 554
5 443
7 163
10 15
11 177
13 73
14 5
16 10
17 79
18 5
19 43
20 6
22 8
23 44
24 6
25 22
26 3
28 1
29 29
30 4
31 10
32 7
34 2
35 5
36 4
37 3
38 1
39 1
40 2
41 6
42 6
43 2
44 3
45 1
46 3
47 3
48 2
49 3
50 3
52 3
53 2
54 1
55 2
58 1
59 1
72 1
75 1
82 1
84 1
94 1
101 1
105 1
primary_loop_size data
6.0 281
12.0 39
13.0 2
18.0 15
19.0 5
24.0 3
31.0 1
32.0 1
61.0 1
secondary_loop_size data
12.0 39
18.0 15
19.0 2
24.0 3
25.0 2
30.0 5
31.0 2
36.0 1
37.0 3
49.0 2
57.0 1
tertiary_loop_size data
12.0 1
18.0 7
24.0 18
25.0 4
30.0 8
31.0 1
36.0 10
37.0 1
38.0 2
42.0 5
43.0 1
49.0 2
61.0 1
114.0 1
quaternary_loop_size data
18.0 2
24.0 10
30.0 10
36.0 7
37.0 3
42.0 4
43.0 1
48.0 6
49.0 5
50.0 1
54.0 1
55.0 3
60.0 2
61.0 2
62.0 1
67.0 1
73.0 3
78.0 1
79.0 1
80.0 2
85.0 1
90.0 1
