strand_size count
1 90
5 53
6 191
7 40
11 29
12 123
13 28
17 24
18 82
19 33
23 31
24 88
25 20
29 17
30 50
31 16
35 22
36 54
37 18
41 28
42 42
43 10
47 8
48 29
49 13
53 11
54 34
55 10
59 5
60 32
61 10
65 14
66 32
67 5
71 6
72 11
73 4
77 4
78 17
79 6
83 2
84 13
85 1
89 4
90 12
91 4
95 2
96 11
97 3
101 4
102 4
103 5
107 2
108 6
109 4
113 5
114 5
115 4
119 3
120 4
121 1
126 1
127 1
131 1
132 2
133 1
137 3
138 3
143 1
144 1
145 1
150 1
151 1
156 4
161 1
167 3
168 1
169 2
174 1
186 2
193 1
197 1
198 1
203 1
211 1
216 1
221 1
246 1
277 1
288 1
