dangling_strand data
1 59
5 36
7 26
11 19
13 23
17 20
19 25
20 1
23 17
25 13
29 14
31 15
34 1
35 17
37 14
41 24
43 6
46 1
47 4
48 1
49 11
53 8
54 1
55 7
56 2
59 5
61 9
65 8
67 3
68 1
71 6
72 1
73 4
77 4
79 5
80 1
83 2
85 1
89 3
91 3
92 1
95 1
97 2
101 2
103 4
104 1
107 1
108 1
109 4
113 5
115 2
119 2
121 1
124 2
126 1
128 1
131 1
133 1
134 1
137 3
142 1
143 1
145 1
150 1
151 1
154 1
158 2
160 1
161 1
167 3
169 2
181 1
183 1
188 1
193 1
197 1
202 1
221 1
250 1
259 1
260 1
270 1
274 1
307 1
343 1
357 1
360 1
379 1
397 1
510 1
primary_loop_size data
6.0 58
12.0 22
18.0 4
19.0 1
24.0 2
25.0 1
30.0 2
36.0 1
84.0 1
90.0 1
91.0 1
103.0 1
secondary_loop_size data
12.0 3
18.0 4
30.0 2
36.0 3
54.0 1
55.0 1
60.0 1
66.0 1
193.0 1
tertiary_loop_size data
18.0 1
30.0 2
36.0 2
48.0 1
66.0 1
72.0 1
90.0 2
139.0 1
150.0 1
quaternary_loop_size data
144.0 1
163.0 1
210.0 1
247.0 1
313.0 1
385.0 1
