dangling_strand count
1 451
2 223
3 1186
4 707
5 5
6 323
7 111
8 32
9 197
10 151
11 2
12 87
13 36
14 16
15 47
16 47
17 3
18 30
19 16
20 4
21 21
22 22
23 3
24 11
25 3
26 3
27 9
28 9
29 1
30 7
31 7
32 1
33 9
34 3
36 6
37 1
38 2
39 1
41 1
42 1
43 2
45 2
46 4
47 1
48 1
49 1
50 1
53 2
60 1
89 1
primary_loop_size data
4.0 25
5.0 26
6.0 15
7.0 14
8.0 10
9.0 1
10.0 1
11.0 5
12.0 1
13.0 2
19.0 1
23.0 1
secondary_loop_size data
3.0 62
4.0 41
5.0 22
6.0 21
7.0 20
8.0 6
9.0 10
10.0 3
11.0 4
12.0 6
13.0 3
14.0 3
16.0 1
19.0 1
20.0 1
25.0 1
tertiary_loop_size data
2.0 42
3.0 43
4.0 15
5.0 25
6.0 15
7.0 20
8.0 22
9.0 13
10.0 3
11.0 10
12.0 4
13.0 5
14.0 6
15.0 8
16.0 5
17.0 1
18.0 2
21.0 2
22.0 1
27.0 1
30.0 1
quaternary_loop_size data
2.0 11
3.0 12
4.0 19
5.0 23
6.0 12
7.0 14
8.0 11
9.0 10
10.0 10
11.0 11
12.0 7
13.0 5
14.0 7
15.0 4
16.0 5
17.0 4
18.0 1
19.0 4
20.0 2
21.0 5
22.0 1
23.0 3
24.0 3
25.0 3
26.0 1
28.0 1
33.0 1
43.0 1
