dangling_strand count
1 1430
2 322
3 896
4 582
5 24
6 363
7 199
8 22
9 139
10 115
11 15
12 83
13 55
14 13
15 46
16 29
17 6
18 24
19 15
20 4
21 13
22 13
23 3
24 5
25 11
26 2
27 5
28 6
30 5
31 4
32 2
33 2
34 3
36 4
38 1
39 2
40 2
42 2
43 1
46 1
48 1
49 1
50 1
51 1
52 1
57 1
58 1
62 1
primary_loop_size data
4.0 16
5.0 34
6.0 23
7.0 20
8.0 10
9.0 7
10.0 1
11.0 3
13.0 1
14.0 1
16.0 1
20.0 1
secondary_loop_size data
3.0 65
4.0 41
5.0 36
6.0 17
7.0 29
8.0 8
9.0 11
10.0 4
11.0 8
12.0 1
13.0 2
14.0 3
15.0 2
16.0 1
17.0 2
18.0 1
19.0 3
tertiary_loop_size data
1.0 1
2.0 37
3.0 32
4.0 40
5.0 24
6.0 28
7.0 22
8.0 20
9.0 5
10.0 11
11.0 17
12.0 9
13.0 3
14.0 5
15.0 3
16.0 2
17.0 2
18.0 3
19.0 2
20.0 1
22.0 1
23.0 1
quaternary_loop_size data
2.0 17
3.0 15
4.0 27
5.0 26
6.0 17
7.0 14
8.0 17
9.0 15
10.0 9
11.0 8
12.0 6
13.0 10
14.0 7
15.0 10
16.0 6
17.0 8
18.0 9
19.0 3
20.0 3
21.0 1
22.0 4
23.0 2
24.0 2
25.0 1
28.0 2
34.0 1
