dangle_size count
2 85
4 239
5 651
6 162
7 245
8 10
9 12
10 40
11 253
12 33
13 116
14 4
15 6
16 15
17 133
18 14
19 45
20 2
22 7
23 60
24 4
25 22
26 2
27 5
28 4
29 12
30 3
31 17
32 1
33 1
34 3
35 14
36 2
37 6
40 2
41 11
43 3
44 1
47 3
48 1
49 3
52 1
54 1
55 1
57 2
59 1
62 1
63 1
67 1
75 1
81 1
129 1
216 1
