dangling_strand count
1 2507
2 364
3 551
4 477
5 51
6 381
7 252
8 28
9 121
10 117
11 25
12 64
13 51
14 15
15 46
16 31
17 6
18 13
19 22
20 7
21 12
22 11
23 4
24 7
25 10
26 1
27 3
28 2
29 3
30 2
31 2
32 2
33 1
34 5
35 1
36 1
37 1
38 1
40 1
54 1
58 1
61 1
65 1
primary_loop_size data
4.0 22
5.0 16
6.0 52
7.0 1
8.0 10
9.0 11
10.0 1
11.0 2
12.0 3
13.0 3
14.0 1
secondary_loop_size data
3.0 58
4.0 38
5.0 61
6.0 13
7.0 35
8.0 9
9.0 11
10.0 7
11.0 6
12.0 2
13.0 3
15.0 1
16.0 1
17.0 1
18.0 1
19.0 1
21.0 2
31.0 1
tertiary_loop_size data
1.0 1
2.0 48
3.0 40
4.0 38
5.0 27
6.0 26
7.0 22
8.0 24
9.0 14
10.0 14
11.0 8
12.0 6
13.0 7
14.0 3
15.0 4
16.0 3
17.0 1
18.0 1
20.0 2
21.0 1
28.0 1
quaternary_loop_size data
2.0 12
3.0 16
4.0 26
5.0 26
6.0 23
7.0 18
8.0 22
9.0 19
10.0 15
11.0 12
12.0 10
13.0 8
14.0 7
15.0 7
16.0 6
17.0 5
18.0 4
19.0 4
20.0 3
21.0 5
22.0 1
24.0 1
26.0 3
27.0 1
30.0 1
32.0 2
38.0 1
