<<<<<<< Updated upstream
loop_size count
7 388
13 21
14 103
19 1
20 28
21 63
26 9
27 23
28 62
32 1
33 10
34 33
35 58
39 2
40 15
41 49
42 55
46 5
47 29
48 59
49 71
=======
dangling strand data
1 934
5 731
7 161
10 28
11 177
13 31
14 6
16 7
17 48
18 8
19 9
20 10
22 5
23 12
24 6
25 3
26 2
27 1
28 5
29 2
31 4
32 1
33 1
34 2
35 2
36 1
37 1
39 1
40 1
45 2
46 1
48 1
59 1
72 1
primary loop_size data
secondary loop_size data
tertiary loop_size data
quaternary loop_size data
7 401
13 22
14 107
19 2
20 30
21 68
26 9
27 27
28 70
32 1
33 12
34 37
35 63
38 1
39 3
40 19
41 56
42 66
46 7
47 35
48 71
49 90
>>>>>>> Stashed changes
