strand_size count
2 189
4 206
6 341
8 75
10 70
12 140
14 62
16 44
18 104
20 31
22 33
24 70
26 33
28 31
30 60
32 22
34 29
36 63
38 23
40 20
42 56
44 18
46 20
48 29
50 17
52 18
54 22
56 16
58 14
60 31
62 8
64 17
66 17
68 6
70 10
72 18
74 7
78 14
80 11
82 4
84 6
86 6
88 6
90 8
92 4
94 3
96 10
98 4
100 4
102 6
104 5
106 2
108 7
110 3
112 3
114 6
118 4
120 6
122 1
124 4
126 1
128 3
132 4
134 2
136 3
138 4
140 1
142 3
144 1
146 2
148 2
152 1
158 1
162 1
166 1
172 2
174 3
180 1
182 1
186 1
188 1
190 1
192 2
206 1
222 2
224 1
242 1
256 1
262 1
276 1
