cluster_size count
276 1
262 1
256 1
242 1
224 1
222 2
206 1
192 2
190 1
188 1
186 1
182 1
180 1
174 3
172 2
166 1
162 1
158 1
152 1
148 2
146 2
144 1
142 3
140 1
138 4
136 3
134 2
132 4
128 3
126 1
124 4
122 1
120 6
118 4
114 6
112 3
110 3
108 7
106 2
104 5
102 6
100 4
98 4
96 10
94 3
92 4
90 8
88 6
86 6
84 6
82 4
80 11
78 14
74 7
72 18
70 10
68 6
66 17
64 17
62 8
60 31
58 14
56 16
54 22
52 18
50 17
48 29
46 20
44 18
42 56
40 20
38 23
36 63
34 29
32 22
30 60
28 31
26 33
24 70
22 33
20 31
18 104
16 44
14 62
12 140
10 70
8 75
6 341
4 206
2 189
