dangling_strand count
1 859
5 774
7 122
10 24
11 140
13 35
14 17
16 10
17 34
18 5
19 5
20 8
22 4
23 8
24 4
25 1
26 2
27 1
28 6
29 2
30 1
31 1
32 3
33 1
34 3
35 1
36 1
42 1
44 1
47 1
49 1
54 1
94 1
primary_loop_size data
6.0 426
12.0 41
13.0 6
18.0 11
19.0 1
25.0 1
secondary_loop_size data
12.0 137
18.0 31
19.0 6
24.0 6
25.0 2
30.0 3
31.0 2
36.0 1
43.0 1
tertiary_loop_size data
12.0 4
18.0 67
24.0 33
25.0 6
30.0 10
31.0 4
32.0 2
36.0 5
37.0 4
42.0 1
43.0 1
49.0 1
quaternary_loop_size data
18.0 2
24.0 44
30.0 41
31.0 6
36.0 17
37.0 2
38.0 1
42.0 5
43.0 2
44.0 1
48.0 3
49.0 2
54.0 2
55.0 4
60.0 1
67.0 1
