cluster_size count
276 1
264 1
218 1
210 2
208 1
196 1
190 1
182 1
180 1
174 1
170 1
166 1
164 2
160 1
158 2
156 1
154 1
150 1
146 1
142 3
138 3
136 4
134 2
132 2
130 6
128 2
126 7
122 1
120 5
116 1
114 7
112 7
110 7
108 5
106 3
104 4
102 10
100 5
98 5
96 9
94 11
92 2
90 6
88 4
86 5
84 15
82 11
80 9
78 13
76 8
74 7
72 18
70 6
68 12
66 15
64 13
62 10
60 28
58 12
56 11
54 27
52 19
50 14
48 34
46 18
44 19
42 43
40 31
38 26
36 57
34 25
32 24
30 57
28 23
26 33
24 57
22 35
20 40
18 86
16 47
14 48
12 118
10 66
8 89
6 328
4 209
2 193
