strand_size count
2 193
4 209
6 328
8 89
10 66
12 118
14 48
16 47
18 86
20 40
22 35
24 57
26 33
28 23
30 57
32 24
34 25
36 57
38 26
40 31
42 43
44 19
46 18
48 34
50 14
52 19
54 27
56 11
58 12
60 28
62 10
64 13
66 15
68 12
70 6
72 18
74 7
76 8
78 13
80 9
82 11
84 15
86 5
88 4
90 6
92 2
94 11
96 9
98 5
100 5
102 10
104 4
106 3
108 5
110 7
112 7
114 7
116 1
120 5
122 1
126 7
128 2
130 6
132 2
134 2
136 4
138 3
142 3
146 1
150 1
154 1
156 1
158 2
160 1
164 2
166 1
170 1
174 1
180 1
182 1
190 1
196 1
208 1
210 2
218 1
264 1
276 1
