dangling_strand data
1 4245
2 144
4 37
5 36
6 451
7 251
8 3
9 106
10 140
11 8
13 8
14 7
15 33
16 20
17 1
18 18
19 21
22 1
24 4
25 4
27 1
28 3
29 2
32 2
34 1
36 2
37 2
43 2
primary_loop_size data
2.0 136
4.0 7
5.0 4
6.0 67
8.0 6
9.0 8
10.0 1
11.0 2
12.0 1
13.0 1
16.0 3
18.0 1
secondary_loop_size data
1.0 108
3.0 115
4.0 39
5.0 74
6.0 4
7.0 26
8.0 25
9.0 6
10.0 6
11.0 3
12.0 7
14.0 4
15.0 1
17.0 1
19.0 1
22.0 1
tertiary_loop_size data
1.0 4
2.0 124
3.0 60
4.0 42
5.0 24
6.0 47
7.0 40
8.0 15
9.0 13
10.0 16
11.0 9
12.0 7
13.0 7
14.0 8
15.0 4
16.0 1
18.0 1
19.0 1
25.0 1
27.0 1
28.0 1
quaternary_loop_size data
2.0 24
3.0 31
4.0 39
5.0 33
6.0 38
7.0 24
8.0 34
9.0 25
10.0 22
11.0 9
12.0 13
13.0 14
14.0 6
15.0 7
16.0 7
17.0 6
18.0 2
19.0 2
20.0 2
21.0 1
22.0 1
23.0 2
25.0 1
26.0 1
27.0 1
28.0 3
29.0 1
34.0 1
36.0 1
39.0 1
