strand_size count
1 307
5 205
6 598
7 140
11 147
12 345
13 92
17 108
18 181
19 63
23 54
24 152
25 40
29 39
30 90
31 31
35 28
36 68
37 14
41 18
42 39
43 10
47 12
48 27
49 9
53 9
54 27
55 5
59 16
60 22
61 4
65 6
66 19
67 3
71 1
72 10
73 3
77 2
78 4
79 1
83 4
84 2
85 3
89 1
90 1
96 2
102 1
120 2
145 1
