dangle_size count
2 136
4 194
5 258
6 277
7 176
8 37
9 11
10 54
11 162
12 82
13 102
14 13
15 3
16 29
17 120
18 22
19 74
20 14
21 3
22 19
23 63
24 29
25 44
26 7
27 3
28 11
29 38
30 14
31 37
32 4
34 5
35 31
36 8
37 20
38 5
39 3
40 3
41 18
42 9
43 14
44 2
45 2
46 4
47 14
48 4
49 10
50 2
51 2
52 6
53 13
54 1
55 8
56 1
58 1
59 7
60 5
61 5
62 2
63 2
64 1
65 4
66 2
67 4
68 2
70 1
71 2
72 2
73 2
74 1
75 1
77 1
78 1
79 2
80 4
81 2
82 2
83 4
85 1
86 1
89 2
91 1
92 1
93 1
94 1
97 2
104 1
106 1
112 1
114 1
115 2
119 2
124 1
166 1
171 1
181 1
204 1
206 1
211 1
225 1
296 1
