dangling_strand count
1 200
5 138
7 92
10 2
11 107
13 68
14 1
16 2
17 71
19 39
22 4
23 43
24 1
25 32
26 4
27 1
28 4
29 32
30 1
31 23
32 2
34 2
35 25
36 1
37 11
38 4
40 2
41 15
42 2
43 8
44 1
46 1
47 8
48 4
49 8
50 3
52 3
53 6
54 3
55 6
56 2
58 1
59 14
60 4
61 2
62 1
63 1
64 2
65 5
66 3
67 3
68 1
69 1
71 2
72 1
73 2
74 1
76 3
77 2
78 1
79 2
80 1
82 1
83 4
85 2
87 1
89 1
90 3
91 1
95 1
96 1
98 2
100 2
104 1
105 1
106 1
112 1
113 2
118 1
119 1
123 1
124 1
129 1
130 1
137 1
145 1
150 1
151 1
168 1
173 1
194 1
227 1
290 1
308 1
primary_loop_size data
6.0 113
12.0 29
13.0 2
18.0 10
19.0 4
24.0 7
25.0 1
30.0 3
31.0 1
36.0 1
54.0 1
secondary_loop_size data
12.0 8
18.0 3
25.0 1
30.0 3
36.0 1
37.0 2
48.0 1
49.0 1
55.0 1
56.0 1
62.0 1
66.0 1
78.0 1
86.0 1
98.0 1
129.0 1
tertiary_loop_size data
12.0 1
24.0 2
30.0 1
31.0 2
37.0 1
42.0 2
43.0 1
48.0 1
49.0 1
55.0 2
66.0 1
69.0 1
85.0 1
91.0 1
97.0 1
100.0 1
145.0 1
quaternary_loop_size data
30.0 3
36.0 2
42.0 3
49.0 1
54.0 1
55.0 1
60.0 1
62.0 1
67.0 1
72.0 1
73.0 1
80.0 1
86.0 1
90.0 1
103.0 1
106.0 1
116.0 1
117.0 1
123.0 1
127.0 1
