dangling_strand data
1 4264
2 86
4 41
5 27
6 410
7 220
8 1
9 108
10 140
11 4
13 5
14 3
15 36
16 16
18 15
19 12
23 1
24 6
25 2
27 2
28 2
33 2
36 1
37 1
46 1
primary_loop_size data
2.0 155
4.0 12
5.0 2
6.0 99
8.0 12
9.0 5
11.0 1
13.0 3
15.0 1
secondary_loop_size data
1.0 134
3.0 120
4.0 44
5.0 86
6.0 5
7.0 37
8.0 28
9.0 3
10.0 4
11.0 1
12.0 5
14.0 1
15.0 1
16.0 2
tertiary_loop_size data
1.0 4
2.0 99
3.0 61
4.0 52
5.0 20
6.0 38
7.0 45
8.0 18
9.0 24
10.0 9
11.0 10
12.0 2
13.0 8
14.0 4
15.0 1
16.0 4
18.0 3
21.0 1
27.0 1
quaternary_loop_size data
1.0 1
2.0 24
3.0 18
4.0 39
5.0 24
6.0 37
7.0 26
8.0 39
9.0 30
10.0 18
11.0 16
12.0 11
13.0 12
14.0 6
15.0 13
16.0 2
17.0 8
18.0 2
19.0 4
20.0 2
22.0 3
23.0 2
24.0 3
25.0 1
26.0 2
