dangling_strand count
1 446
2 209
3 1219
4 696
5 7
6 348
7 97
8 19
9 195
10 139
11 5
12 93
13 26
14 12
15 53
16 47
17 3
18 33
19 15
20 7
21 18
22 14
23 3
24 16
25 11
26 2
27 9
28 8
30 10
31 3
33 9
34 5
35 1
36 2
37 1
38 1
39 2
40 1
42 2
43 4
45 1
48 1
52 1
54 3
61 1
67 1
primary_loop_size data
4.0 29
5.0 42
6.0 15
7.0 15
8.0 8
9.0 6
10.0 6
11.0 4
12.0 1
15.0 1
secondary_loop_size data
3.0 63
4.0 45
5.0 15
6.0 19
7.0 21
8.0 15
9.0 11
10.0 8
11.0 3
12.0 5
13.0 1
14.0 3
15.0 1
16.0 1
17.0 1
18.0 1
20.0 2
tertiary_loop_size data
1.0 1
2.0 31
3.0 31
4.0 22
5.0 24
6.0 24
7.0 18
8.0 17
9.0 12
10.0 7
11.0 3
12.0 5
13.0 4
14.0 6
15.0 4
16.0 5
17.0 1
18.0 1
19.0 2
20.0 1
21.0 2
22.0 1
23.0 2
24.0 3
26.0 1
34.0 1
quaternary_loop_size data
2.0 10
3.0 20
4.0 13
5.0 14
6.0 12
7.0 10
8.0 18
9.0 14
10.0 14
11.0 7
12.0 11
13.0 6
14.0 9
15.0 7
16.0 6
17.0 5
18.0 5
19.0 3
20.0 2
21.0 2
22.0 1
23.0 6
24.0 2
26.0 3
29.0 1
30.0 2
31.0 1
39.0 1
44.0 1
