dangling_strand data
1 1863
2 494
3 729
4 522
5 44
6 374
7 264
8 39
9 102
10 99
11 30
12 71
13 60
14 14
15 33
16 32
17 7
18 26
19 15
20 4
21 13
22 16
23 6
24 9
25 11
26 4
27 5
28 7
29 6
30 4
31 2
32 1
33 3
34 1
36 2
37 1
38 1
39 1
41 1
45 1
49 1
52 1
56 1
72 1
primary_loop_size data
4.0 24
5.0 29
6.0 37
7.0 5
8.0 16
9.0 1
10.0 1
11.0 2
12.0 1
13.0 2
15.0 1
19.0 1
secondary_loop_size data
3.0 60
4.0 40
5.0 48
6.0 15
7.0 25
8.0 12
9.0 12
10.0 9
11.0 5
12.0 3
13.0 6
14.0 3
15.0 1
17.0 1
18.0 1
19.0 1
21.0 2
24.0 1
25.0 1
tertiary_loop_size data
1.0 2
2.0 48
3.0 41
4.0 28
5.0 30
6.0 30
7.0 23
8.0 17
9.0 14
10.0 9
11.0 8
12.0 7
13.0 9
14.0 2
15.0 3
16.0 4
17.0 3
19.0 2
20.0 1
21.0 3
22.0 1
24.0 1
27.0 1
quaternary_loop_size data
2.0 12
3.0 16
4.0 25
5.0 16
6.0 20
7.0 14
8.0 16
9.0 14
10.0 12
11.0 15
12.0 11
13.0 9
14.0 4
15.0 5
16.0 5
17.0 4
18.0 6
19.0 1
20.0 2
21.0 5
22.0 1
23.0 3
24.0 4
25.0 1
26.0 1
27.0 1
31.0 1
32.0 1
35.0 1
