r g(r)
0.29874998331069946 0.0
0.39625000953674316 0.0
0.4937500059604645 0.0
0.5912500023841858 0.0
0.6887499690055847 0.0
0.7862499952316284 0.0
0.8837499618530273 0.0
0.981249988079071 0.9032076001167297
1.0787498950958252 2.7405548095703125
1.1762499809265137 2.862765073776245
1.2737499475479126 2.412879705429077
1.3712499141693115 2.3936378955841064
1.46875 2.3069863319396973
1.566249966621399 2.5738203525543213
1.6637499332427979 3.029219627380371
1.7612500190734863 3.571850061416626
1.8587498664855957 4.254787921905518
1.9562499523162842 4.756937026977539
2.0537500381469727 4.669551849365234
2.151249885559082 4.3386945724487305
2.2487497329711914 3.922483444213867
2.346250057220459 3.919996976852417
2.4437499046325684 4.001602649688721
2.5412497520446777 4.024332523345947
2.6387500762939453 4.016183376312256
2.7362499237060547 4.205480575561523
2.833749771118164 4.138566017150879
2.9312500953674316 4.145040988922119
3.028749942779541 4.1092400550842285
3.1262497901916504 4.070357322692871
3.223749876022339 3.9094021320343018
3.3212499618530273 3.9904274940490723
3.4187498092651367 3.9877336025238037
3.516249895095825 4.0207366943359375
3.6137499809265137 4.046403884887695
3.711249828338623 4.0537638664245605
3.8087496757507324 4.0978546142578125
3.90625 4.043015480041504
4.003749847412109 4.077094078063965
4.101249694824219 4.008362293243408
4.198749542236328 3.997464179992676
4.296249866485596 4.010656833648682
4.393749713897705 4.006855487823486
4.491250038146973 4.003616809844971
4.588749885559082 4.0152482986450195
4.686249732971191 3.984928846359253
4.783749580383301 4.039767265319824
4.881249904632568 4.008235931396484
4.978749752044678 3.93729829788208
5.076250076293945 4.012428283691406
5.173749923706055 3.988377571105957
5.271249771118164 3.9910831451416016
5.368749618530273 3.9619719982147217
5.466249942779541 4.033186912536621
5.56374979019165 4.019134998321533
5.661250114440918 4.005437850952148
5.758749961853027 4.010672569274902
5.856249809265137 4.013175964355469
5.953749656677246 3.9851138591766357
6.0512495040893555 3.9816367626190186
6.148749828338623 3.994579792022705
6.246249675750732 3.982762098312378
6.34375 3.943230628967285
6.441249847412109 4.012106418609619
6.538749694824219 3.9823851585388184
6.636249542236328 4.007044315338135
6.733749866485596 3.995008707046509
6.831249713897705 4.015880584716797
6.928750038146973 3.9774413108825684
7.026249885559082 4.012211322784424
7.123749732971191 4.020572185516357
7.221249580383301 4.005476474761963
7.31874942779541 4.017640113830566
7.416249752044678 4.028223991394043
7.513749599456787 3.997802972793579
7.611249923706055 4.007438659667969
7.708749771118164 3.973424196243286
7.806249618530273 4.012568950653076
7.903749465942383 4.004500389099121
8.001249313354492 4.007815837860107
8.098749160766602 3.994900703430176
8.196249008178711 4.000502586364746
8.293749809265137 4.00319766998291
8.391249656677246 4.018044948577881
8.488749504089355 4.01251745223999
8.586249351501465 4.000566005706787
8.68375015258789 4.016191005706787
8.78125 4.010097980499268
8.87874984741211 4.020511150360107
8.976249694824219 4.017024517059326
9.073749542236328 4.0133795738220215
9.171249389648438 4.014293193817139
9.268749237060547 4.031503677368164
9.366250038146973 4.027947425842285
9.463749885559082 4.02572774887085
9.561249732971191 4.017062187194824
9.6587495803833 4.0308756828308105
9.75624942779541 4.006009578704834
9.85374927520752 4.031553745269775
9.951250076293945 4.012847900390625
