dangling_strand data
1 613
5 483
7 189
10 16
11 219
13 80
14 7
16 9
17 109
18 8
19 36
20 18
22 10
23 38
24 11
25 14
26 11
27 2
28 4
29 23
30 8
31 9
32 8
34 8
35 8
36 6
37 4
38 4
39 1
40 6
41 5
42 5
43 4
44 4
45 1
46 2
47 5
48 2
49 3
50 1
51 2
52 3
53 3
54 4
56 3
57 1
58 3
62 2
64 1
66 1
68 2
70 4
71 1
73 1
76 2
81 2
82 1
84 1
91 1
94 1
95 1
96 1
97 2
110 1
119 1
126 1
136 1
146 1
primary_loop_size data
6.0 238
12.0 30
13.0 14
18.0 10
19.0 4
26.0 1
secondary_loop_size data
12.0 45
18.0 20
19.0 4
24.0 4
25.0 4
26.0 1
30.0 1
31.0 3
36.0 2
42.0 1
43.0 1
44.0 1
48.0 1
59.0 1
68.0 1
tertiary_loop_size data
12.0 1
18.0 8
19.0 1
24.0 11
25.0 4
30.0 5
31.0 1
36.0 3
37.0 1
42.0 2
43.0 2
44.0 2
49.0 3
51.0 1
56.0 2
57.0 1
58.0 1
60.0 1
61.0 2
62.0 1
77.0 1
104.0 1
quaternary_loop_size data
18.0 1
24.0 4
30.0 10
36.0 5
37.0 1
42.0 2
43.0 6
48.0 1
49.0 2
50.0 1
54.0 1
55.0 3
60.0 1
61.0 1
62.0 2
67.0 1
73.0 1
91.0 1
101.0 1
