strand_size count
1 841
2 70
4 168
5 572
6 2347
7 220
8 12
9 6
10 34
11 267
12 908
13 109
14 6
15 8
16 14
17 124
18 359
19 57
20 4
21 1
22 8
23 46
24 149
25 21
27 1
28 6
29 29
30 78
31 10
32 1
33 1
34 1
35 7
36 40
37 7
38 1
41 2
42 23
43 1
47 5
48 5
49 1
53 2
54 7
59 1
60 2
65 1
68 1
72 1
73 1
78 1
113 1
171 1
