loop_size count
5 95
6 118
7 60
8 68
9 55
10 43
11 68
12 48
13 47
14 55
15 44
16 41
17 38
18 36
19 41
20 37
21 41
22 56
23 37
24 50
25 56
26 64
27 55
28 68
29 76
30 84
31 74
32 87
33 76
34 94
35 93
36 117
37 115
38 127
39 127
40 148
41 163
42 189
43 167
44 198
45 228
46 260
47 281
48 331
49 371
50 367
