dangling_strand data
1 72
5 32
7 29
11 23
13 26
17 34
19 25
23 21
25 16
29 15
31 10
34 1
35 15
37 10
40 1
41 10
43 9
46 1
47 9
49 10
52 3
53 12
54 1
55 6
59 5
61 5
62 2
65 5
67 4
71 6
72 1
73 6
77 2
79 3
83 3
85 2
89 2
91 3
94 1
95 3
100 1
101 6
103 3
109 1
112 2
113 3
115 3
116 1
118 1
119 5
121 1
126 1
127 1
129 1
131 1
132 1
137 2
138 1
139 1
143 1
151 2
155 1
167 1
171 1
175 1
176 1
179 1
183 1
184 1
186 1
195 1
202 1
207 1
209 1
214 1
221 1
247 1
251 1
252 1
273 1
279 1
296 1
300 1
352 1
365 1
383 1
566 1
583 1
732 1
736 1
primary_loop_size data
6.0 64
12.0 25
13.0 2
18.0 4
19.0 1
24.0 3
30.0 2
36.0 1
42.0 2
43.0 1
49.0 1
66.0 1
96.0 1
secondary_loop_size data
12.0 2
18.0 2
19.0 1
24.0 1
42.0 1
48.0 3
67.0 1
84.0 1
96.0 1
tertiary_loop_size data
24.0 2
30.0 3
67.0 1
136.0 1
156.0 1
quaternary_loop_size data
18.0 1
30.0 1
60.0 1
78.0 1
79.0 1
144.0 1
