strand_size count
1 112
5 46
6 180
7 44
11 41
12 116
13 37
17 42
18 84
19 36
23 35
24 67
25 21
29 18
30 51
31 18
35 21
36 62
37 16
41 12
42 49
43 11
47 10
48 30
49 13
53 14
54 22
55 10
59 8
60 25
61 8
65 9
66 22
67 10
71 9
72 10
73 9
77 3
78 14
79 3
83 5
84 16
85 2
89 3
91 3
95 5
96 8
97 2
101 8
102 5
103 4
108 4
109 1
113 3
114 3
115 3
119 6
120 4
121 1
126 2
127 1
131 2
132 1
133 1
137 2
138 1
139 1
143 1
144 1
150 2
151 1
155 1
156 2
161 1
167 1
174 2
175 1
179 1
186 2
192 1
209 1
221 1
222 1
