dangling_strand data
1 4362
2 112
4 35
5 24
6 434
7 222
8 2
9 106
10 136
11 6
13 5
14 5
15 31
16 19
18 15
19 15
20 2
22 1
23 1
24 4
25 3
27 3
28 4
32 1
33 3
34 1
37 2
42 1
primary_loop_size data
2.0 151
4.0 8
5.0 3
6.0 101
8.0 7
9.0 7
11.0 1
13.0 1
15.0 1
20.0 1
secondary_loop_size data
1.0 115
3.0 108
4.0 31
5.0 73
6.0 2
7.0 33
8.0 32
9.0 2
10.0 4
11.0 3
12.0 6
13.0 1
14.0 6
15.0 4
16.0 1
17.0 1
19.0 1
tertiary_loop_size data
1.0 3
2.0 106
3.0 49
4.0 51
5.0 32
6.0 39
7.0 42
8.0 14
9.0 22
10.0 10
11.0 15
12.0 5
13.0 6
14.0 8
15.0 1
16.0 3
17.0 2
18.0 4
20.0 1
21.0 1
22.0 2
23.0 1
quaternary_loop_size data
2.0 30
3.0 32
4.0 37
5.0 38
6.0 38
7.0 23
8.0 36
9.0 16
10.0 21
11.0 11
12.0 20
13.0 14
14.0 10
15.0 5
16.0 4
17.0 7
18.0 1
19.0 2
20.0 1
24.0 3
26.0 1
27.0 2
29.0 1
