dangling_strand count
1 229
5 145
7 108
10 5
11 98
13 56
14 1
16 2
17 63
19 48
20 4
22 2
23 49
25 27
26 4
28 4
29 41
30 1
31 20
32 4
34 2
35 15
36 4
37 8
38 5
40 1
41 16
43 12
44 5
47 11
48 3
49 4
50 3
51 2
52 4
53 7
54 4
55 3
56 4
59 8
60 2
61 10
62 4
64 1
65 6
66 2
67 3
68 1
70 3
71 4
72 1
73 2
76 3
77 2
78 1
79 3
80 1
83 1
84 2
85 2
86 3
87 2
88 1
89 1
90 3
91 1
94 1
96 2
97 2
98 2
104 1
105 1
106 2
107 1
114 1
130 1
133 1
134 1
140 1
141 1
142 1
148 1
149 1
150 1
169 1
176 1
180 1
182 1
206 1
216 1
230 1
296 1
390 1
primary_loop_size data
6.0 113
12.0 18
18.0 8
19.0 3
24.0 3
26.0 2
30.0 2
37.0 1
38.0 1
56.0 1
73.0 1
secondary_loop_size data
12.0 6
18.0 9
24.0 5
30.0 3
31.0 2
36.0 1
37.0 1
42.0 3
48.0 1
49.0 1
55.0 1
68.0 1
73.0 1
tertiary_loop_size data
12.0 1
18.0 2
36.0 1
37.0 1
42.0 2
43.0 1
48.0 2
49.0 1
60.0 2
61.0 1
73.0 1
78.0 1
80.0 1
104.0 1
quaternary_loop_size data
24.0 1
43.0 1
48.0 1
50.0 1
54.0 3
55.0 1
61.0 3
72.0 1
73.0 1
78.0 1
102.0 1
121.0 1
160.0 1
