strand_size count
1 398
2 93
4 149
5 231
6 735
7 151
8 21
9 3
10 31
11 147
12 393
13 94
14 10
15 4
16 26
17 98
18 217
19 71
20 11
21 2
22 20
23 72
24 158
25 42
26 7
27 3
28 6
29 53
30 94
31 33
32 4
33 1
34 8
35 29
36 60
37 12
38 6
39 3
40 4
41 26
42 52
43 16
44 4
45 2
46 1
47 18
48 30
49 5
50 1
51 1
52 1
53 9
54 20
55 5
57 1
58 2
59 8
60 8
61 10
65 7
66 9
67 6
69 2
71 6
72 9
73 3
74 1
77 4
78 5
79 5
84 5
85 3
86 1
90 5
96 2
97 3
99 1
102 2
107 2
109 2
114 1
116 2
120 1
126 1
132 1
135 1
144 1
161 1
168 1
179 1
186 1
209 1
284 1
