frame conversion largest_molecule average_molecule weight_average_molecule
0 0.0000000000000000 13.0000000000000000 3.3127805722321382 3.7068734693877552
1 0.0040564660068149 15.0000000000000000 3.3262734875638102 3.7426938775510203
2 0.0079506733733571 19.0000000000000000 3.3393304983098897 3.7737795918367345
3 0.0123316566607172 23.0000000000000000 3.3541427085044631 3.8137469387755103
4 0.0172535020823192 23.0000000000000000 3.3709411117226198 3.8559673469387756
5 0.0217967440099519 23.0000000000000000 3.3865973681300452 3.8953469387755102
6 0.0259613824436151 23.0000000000000000 3.4010772391581985 3.9297632653061223
7 0.0305046243712478 23.0000000000000000 3.4170153417015343 3.9787102040816325
8 0.0345610903780626 23.0000000000000000 3.4313725490196076 4.0157714285714290
9 0.0387798150251501 23.0000000000000000 3.4464325905919422 4.0560000000000000
10 0.0422413326842988 23.0000000000000000 3.4588886379037724 4.0913959183673470
11 0.0460814538374168 23.0000000000000000 3.4728128366502240 4.1300244897959182
12 0.0500838336308075 26.0000000000000000 3.4874451972897567 4.1712653061224492
13 0.0545189031315918 26.0000000000000000 3.5038041301985010 4.2161306122448980
14 0.0590080588458002 26.0000000000000000 3.5205195999540178 4.2662204081632655
15 0.0623073178646763 26.0000000000000000 3.5329065005479610 4.2913632653061224
16 0.0653902320298556 26.0000000000000000 3.5445601851851851 4.3256489795918371
17 0.0696089566769430 26.0000000000000000 3.5606324845948145 4.3609142857142853
18 0.0739899399643031 32.0000000000000000 3.5774779510542607 4.4187428571428571
19 0.0775596300503002 38.0000000000000000 3.5913221929053063 4.4793142857142856
20 0.0815620098436908 38.0000000000000000 3.6069724986749896 4.5153632653061226
21 0.0852939585699605 38.0000000000000000 3.6216887417218544 4.5567673469387753
22 0.0891340797230786 38.0000000000000000 3.6369574253310373 4.6089469387755102
23 0.0925415111688031 38.0000000000000000 3.6506138991536536 4.6529632653061226
24 0.0960571150413760 38.0000000000000000 3.6648118231316937 4.6919836734693874
25 0.1007626156092812 38.0000000000000000 3.6839889329965114 4.7447836734693878
26 0.1042241332684299 38.0000000000000000 3.6982248520710059 4.7827918367346935
27 0.1084428579155173 38.0000000000000000 3.7157243387527301 4.8251102040816329
28 0.1117421169343934 38.0000000000000000 3.7295256652255984 4.8609959183673466
29 0.1150413759532695 38.0000000000000000 3.7434298985454100 4.9155265306122446
30 0.1193682730272054 38.0000000000000000 3.7618228718830609 4.9660081632653057
31 0.1228297906863541 38.0000000000000000 3.7766678998643481 5.0167836734693880
32 0.1258586186381092 38.0000000000000000 3.7897537433485953 5.0496979591836730
33 0.1293201362972578 38.0000000000000000 3.8048204745931171 5.0894693877551020
34 0.1329439125966791 38.0000000000000000 3.8207223504460108 5.1311346938775513
35 0.1365676888961004 38.0000000000000000 3.8367577048358807 5.1674448979591840
36 0.1407323273297637 38.0000000000000000 3.8553534336249764 5.2155102040816326
37 0.1451673968305479 38.0000000000000000 3.8753559000316358 5.2610285714285716
38 0.1480880523554546 38.0000000000000000 3.8886419909846994 5.2985142857142860
39 0.1525772080696630 38.0000000000000000 3.9092417666581567 5.3545142857142860
40 0.1561468981556601 38.0000000000000000 3.9257787463145752 5.4077714285714285
41 0.1597165882416572 38.0000000000000000 3.9424562306900102 5.4487836734693875
42 0.1629617610471091 38.0000000000000000 3.9577410183509949 5.4848326530612246
43 0.1674509167613175 38.0000000000000000 3.9790814006366531 5.5414530612244901
44 0.1713451241278598 38.0000000000000000 3.9977808237060244 5.5902367346938773
45 0.1743739520796149 38.0000000000000000 4.0124467736652472 5.6239020408163265
46 0.1773486938179458 38.0000000000000000 4.0269559500328729 5.6680816326530614
47 0.1812969873979123 38.0000000000000000 4.0463764286186166 5.7160816326530615
48 0.1847044188436368 38.0000000000000000 4.0632877802839324 5.7723428571428572
49 0.1881659365027854 38.0000000000000000 4.0806129247168554 5.8269714285714285
50 0.1909784196008437 38.0000000000000000 4.0947987698890227 5.8751346938775511
51 0.1940613337660231 38.0000000000000000 4.1104623850748272 5.9187918367346937
52 0.1972524203580507 38.0000000000000000 4.1268023177469342 5.9630040816326533
53 0.2006598518037752 38.0000000000000000 4.1443940726706812 6.0019265306122449
54 0.2040131970360755 38.0000000000000000 4.1618536386491813 6.0533224489795918
55 0.2072583698415274 39.0000000000000000 4.1788906324623047 6.1007020408163264
56 0.2112066634214939 39.0000000000000000 4.1998080087767420 6.1599346938775508
57 0.2146681810806425 39.0000000000000000 4.2183195592286502 6.2049306122448984
58 0.2183460435934880 39.0000000000000000 4.2381677276501524 6.2713795918367348
59 0.2212666991183947 39.0000000000000000 4.2540630643144883 6.3105959183673468
60 0.2242955270701498 39.0000000000000000 4.2706735462278624 6.3628408163265302
61 0.2278652171561469 40.0000000000000000 4.2904174838890450 6.4281795918367344
62 0.2311103899615988 55.0000000000000000 4.3085256049521670 6.4895020408163262
63 0.2338687868462329 55.0000000000000000 4.3240381221320154 6.5332571428571429
64 0.2367894423711396 59.0000000000000000 4.3405853589398342 6.5855020408163263
65 0.2402509600302883 59.0000000000000000 4.3603616430554570 6.6395428571428567
66 0.2438747363297095 59.0000000000000000 4.3812589413447780 6.6978612244897962
67 0.2470117367083131 59.0000000000000000 4.3995115644303979 6.7592163265306127
68 0.2497701335929472 59.0000000000000000 4.4156874053781268 6.8126367346938776
69 0.2527989615447023 59.0000000000000000 4.4335866811436846 6.8833632653061221
70 0.2555573584293364 59.0000000000000000 4.4500145306596917 6.9544816326530610
71 0.2583698415273947 59.0000000000000000 4.4668903150525088 7.0077061224489796
72 0.2606955487046352 59.0000000000000000 4.4809422781476336 7.0381714285714283
73 0.2637784628698145 61.0000000000000000 4.4997061416397299 7.0960979591836733
74 0.2669154632484180 61.0000000000000000 4.5189611922679651 7.1492571428571425
75 0.2696197739196279 61.0000000000000000 4.5356931279620856 7.2041142857142857
76 0.2723781708042620 61.0000000000000000 4.5528878317103993 7.2594938775510203
77 0.2750283952620477 61.0000000000000000 4.5695314831393610 7.3130775510204078
78 0.2782194818540754 61.0000000000000000 4.5897339827650807 7.3931428571428572
79 0.2811401373789821 69.0000000000000000 4.6083816116168839 7.4859428571428568
80 0.2847639136784034 69.0000000000000000 4.6317301875378103 7.5720163265306120
81 0.2874682243496133 69.0000000000000000 4.6493092454835283 7.6232489795918363
82 0.2907133971550652 69.0000000000000000 4.6705810584108587 7.6909061224489799
83 0.2931472767591541 69.0000000000000000 4.6866630958757360 7.7410938775510205
84 0.2963383633511818 69.0000000000000000 4.7079169869331281 7.7875265306122445
85 0.2987722429552707 69.0000000000000000 4.7242576166602390 7.8483918367346943
86 0.3021255881875710 69.0000000000000000 4.7469580717662563 7.9071020408163264
87 0.3047758126453567 69.0000000000000000 4.7650536797883927 7.9604244897959182
88 0.3081291578776570 69.0000000000000000 4.7881488430268915 8.0199836734693886
89 0.3108334685488669 69.0000000000000000 4.8069376863914615 8.0784000000000002
90 0.3131591757261074 69.0000000000000000 4.8232144263327825 8.1308081632653053
91 0.3159716588241657 69.0000000000000000 4.8430457816082866 8.1868408163265300
92 0.3191086592027692 69.0000000000000000 4.8653586464373664 8.2880979591836734
93 0.3221915733679485 69.0000000000000000 4.8874880306415580 8.3609795918367347
94 0.3241927632646439 69.0000000000000000 4.9019607843137258 8.4072489795918361
95 0.3262480393747634 69.0000000000000000 4.9169141847956972 8.4851591836734688
96 0.3293850397533669 69.0000000000000000 4.9399145092346153 8.5348897959183674
97 0.3318189193574558 69.0000000000000000 4.9579083697587825 8.5979428571428578
98 0.3349559197360593 69.0000000000000000 4.9812947299934942 8.6591346938775509
99 0.3375520579804208 74.0000000000000000 5.0008164598301761 8.7601959183673461
100 0.3404727135053275 74.0000000000000000 5.0229621125143513 8.8390530612244902
101 0.3428525068959922 74.0000000000000000 5.0411522633744852 8.9188571428571422
102 0.3450159554329602 74.0000000000000000 5.0578034682080926 8.9582367346938767
103 0.3469089729028071 74.0000000000000000 5.0724637681159424 8.9955591836734694
104 0.3498296284277138 74.0000000000000000 5.0952499792030617 9.0678204081632661
105 0.3529666288063173 74.0000000000000000 5.1199531889994150 9.1695020408163259
106 0.3548055600627400 74.0000000000000000 5.1345460642132617 9.1941224489795914
107 0.3578343880144951 74.0000000000000000 5.1587635812347346 9.2905469387755097
108 0.3603223538320082 74.0000000000000000 5.1788281051830554 9.3595102040816318
109 0.3637297852777327 74.0000000000000000 5.2065623937436243 9.4312489795918371
110 0.3663259235220942 74.0000000000000000 5.2278934790030727 9.4996571428571421
111 0.3688138893396073 74.0000000000000000 5.2485004284490149 9.5625795918367356
112 0.3716263724376657 76.0000000000000000 5.2719917369598894 9.6630857142857138
113 0.3738439071880578 76.0000000000000000 5.2906625205148137 9.7137306122448983
114 0.3764941316458435 76.0000000000000000 5.3131505898681475 9.7816489795918375
115 0.3784412353291146 76.0000000000000000 5.3297946397493909 9.8340571428571426
116 0.3804424252258100 93.0000000000000000 5.3470100392841555 9.9677387755102043
117 0.3831467358970199 93.0000000000000000 5.3704515563349409 10.0297469387755100
118 0.3855265292876845 93.0000000000000000 5.3912507701786812 10.0988734693877547
119 0.3885553572394397 93.0000000000000000 5.4179566563467496 10.1880489795918372
120 0.3908810644166802 93.0000000000000000 5.4386432250044399 10.3500408163265298
121 0.3933149440207691 104.0000000000000000 5.4604617990550057 10.5116408163265298
122 0.3960192546919790 108.0000000000000000 5.4849108981821439 10.5921306122448975
123 0.3989399102168857 108.0000000000000000 5.5115630342841717 10.6783346938775505
124 0.4006165828330359 112.0000000000000000 5.5269806894062441 10.7374040816326524
125 0.4030504624371248 112.0000000000000000 5.5495152668297543 10.9103673469387754
126 0.4057547731083347 112.0000000000000000 5.5747701829434790 11.0344489795918363
127 0.4080804802855752 112.0000000000000000 5.5966739766081872 11.1932734693877549
128 0.4104061874628157 112.0000000000000000 5.6187505733418952 11.3359020408163271
129 0.4127318946400563 112.0000000000000000 5.6410020261558298 11.4266775510204077
130 0.4147871707501758 112.0000000000000000 5.6608133086876151 11.5241795918367345
131 0.4168965330737195 112.0000000000000000 5.6812911603747329 11.5557877551020400
