dangling_strand count
1 3633
2 474
3 200
4 284
5 76
6 454
7 259
8 14
9 97
10 125
11 35
12 28
13 36
14 16
15 40
16 27
17 5
18 12
19 12
20 5
21 6
22 3
23 3
24 7
25 4
26 1
27 1
28 2
29 1
30 2
32 2
33 1
34 1
35 1
36 1
40 1
46 1
47 1
51 1
primary_loop_size data
4.0 18
5.0 9
6.0 68
7.0 1
8.0 14
9.0 8
12.0 1
13.0 3
14.0 2
20.0 1
secondary_loop_size data
3.0 83
4.0 38
5.0 63
6.0 4
7.0 31
8.0 22
9.0 8
10.0 10
11.0 3
12.0 8
14.0 4
tertiary_loop_size data
1.0 1
2.0 64
3.0 49
4.0 50
5.0 20
6.0 39
7.0 40
8.0 21
9.0 18
10.0 14
11.0 6
12.0 5
13.0 8
14.0 3
15.0 2
16.0 2
17.0 1
18.0 2
20.0 1
21.0 2
23.0 1
24.0 1
quaternary_loop_size data
2.0 17
3.0 31
4.0 30
5.0 25
6.0 25
7.0 29
8.0 29
9.0 17
10.0 21
11.0 13
12.0 14
13.0 10
14.0 5
15.0 8
16.0 6
17.0 6
18.0 4
19.0 2
20.0 4
21.0 1
22.0 2
25.0 4
26.0 1
27.0 1
33.0 1
