dangling_strand count
1 4183
2 464
4 166
5 96
6 498
7 223
8 7
9 122
10 135
11 26
12 1
13 16
14 16
15 45
16 24
18 17
19 24
20 4
22 3
23 2
24 3
25 10
27 6
28 3
32 1
37 1
51 1
52 1
primary_loop_size data
4.0 15
5.0 7
6.0 62
7.0 2
8.0 12
9.0 4
11.0 3
13.0 3
20.0 1
secondary_loop_size data
3.0 79
4.0 33
5.0 69
6.0 5
7.0 32
8.0 31
9.0 12
10.0 14
11.0 1
12.0 9
14.0 1
15.0 3
16.0 1
18.0 1
tertiary_loop_size data
2.0 68
3.0 57
4.0 49
5.0 18
6.0 46
7.0 31
8.0 20
9.0 26
10.0 13
11.0 15
12.0 8
13.0 10
14.0 4
15.0 3
16.0 1
18.0 4
20.0 2
25.0 1
quaternary_loop_size data
2.0 21
3.0 26
4.0 30
5.0 25
6.0 34
7.0 29
8.0 32
9.0 28
10.0 19
11.0 11
12.0 18
13.0 14
14.0 8
15.0 9
16.0 7
17.0 5
18.0 2
19.0 1
20.0 1
21.0 2
22.0 1
23.0 1
24.0 2
26.0 1
28.0 1
31.0 1
