0,0
0,1
185,2
1127,3
719,4
1,5
303,6
54,7
39,8
210,9
178,10
5,11
65,12
26,13
22,14
51,15
57,16
3,17
30,18
19,19
13,20
23,21
25,22
4,23
15,24
7,25
7,26
9,27
12,28
2,29
12,30
10,31
6,32
6,33
5,34
1,35
7,36
4,37
6,38
1,39
5,40
1,41
2,42
1,43
5,44
3,45
3,46
1,47
0,48
2,49
1,50
2,51
0,52
1,53
1,54
1,55
0,56
1,57
1,58
0,59
2,60
1,61
1,62
0,63
0,64
0,65
1,66
0,67
0,68
0,69
0,70
0,71
1,72
0,73
0,74
0,75
0,76
1,77
3,78
1,79
0,80
0,81
0,82
0,83
0,84
0,85
1,86
0,87
0,88
0,89
0,90
0,91
1,92
0,93
0,94
0,95
1,96
0,97
1,98
0,99
0,100
0,101
0,102
0,103
0,104
1,105
