dangling_strand count
1 2972
2 421
3 406
4 357
5 65
6 414
7 287
8 15
9 85
10 110
11 14
12 50
13 41
14 10
15 32
16 38
17 5
18 7
19 15
20 4
21 10
22 13
23 1
24 2
25 6
26 2
27 5
28 5
29 3
30 4
31 1
32 1
34 1
36 2
37 1
40 1
42 1
44 1
46 1
48 1
50 1
primary_loop_size data
4.0 17
5.0 16
6.0 53
7.0 4
8.0 12
9.0 6
11.0 1
12.0 1
14.0 1
16.0 1
secondary_loop_size data
3.0 78
4.0 28
5.0 65
6.0 9
7.0 30
8.0 23
9.0 11
10.0 8
11.0 2
12.0 5
13.0 2
14.0 2
15.0 3
16.0 3
20.0 1
tertiary_loop_size data
1.0 1
2.0 43
3.0 42
4.0 45
5.0 18
6.0 38
7.0 34
8.0 15
9.0 8
10.0 9
11.0 4
12.0 4
13.0 4
14.0 4
15.0 1
16.0 1
17.0 5
18.0 3
19.0 2
20.0 1
21.0 3
31.0 1
quaternary_loop_size data
2.0 25
3.0 15
4.0 24
5.0 28
6.0 22
7.0 19
8.0 23
9.0 16
10.0 12
11.0 12
12.0 12
13.0 12
14.0 12
15.0 9
16.0 8
17.0 1
19.0 8
20.0 7
21.0 4
22.0 2
23.0 2
24.0 1
30.0 1
31.0 2
