r g(r)
0.29874998331069946 0.0
0.39625000953674316 0.0
0.4937500059604645 0.0
0.5912500023841858 0.0
0.6887499690055847 0.0
0.7862499952316284 0.0
0.8837499618530273 0.0012410124763846397
0.981249988079071 0.5104662179946899
1.0787498950958252 1.6030372381210327
1.1762499809265137 1.6126657724380493
1.2737499475479126 1.355021357536316
1.3712499141693115 1.244046926498413
1.46875 1.3303484916687012
1.566249966621399 1.604443907737732
1.6637499332427979 1.9801617860794067
1.7612500190734863 2.3051962852478027
1.8587498664855957 2.5883193016052246
1.9562499523162842 2.8445098400115967
2.0537500381469727 2.6995553970336914
2.151249885559082 2.3755550384521484
2.2487497329711914 2.1876704692840576
2.346250057220459 2.302888870239258
2.4437499046325684 2.327179431915283
2.5412497520446777 2.3162381649017334
2.6387500762939453 2.278104066848755
2.7362499237060547 2.330650806427002
2.833749771118164 2.320312976837158
2.9312500953674316 2.2978148460388184
3.028749942779541 2.2730469703674316
3.1262497901916504 2.2813894748687744
3.223749876022339 2.230813980102539
3.3212499618530273 2.224719762802124
3.4187498092651367 2.2483086585998535
3.516249895095825 2.268490791320801
3.6137499809265137 2.271355152130127
3.711249828338623 2.278759002685547
3.8087496757507324 2.3230223655700684
3.90625 2.281886577606201
4.003749847412109 2.3070173263549805
4.101249694824219 2.274601936340332
4.198749542236328 2.2803540229797363
4.296249866485596 2.27413010597229
4.393749713897705 2.285137414932251
4.491250038146973 2.2675578594207764
4.588749885559082 2.3103220462799072
4.686249732971191 2.271653175354004
4.783749580383301 2.2838973999023438
4.881249904632568 2.2925729751586914
4.978749752044678 2.2937283515930176
5.076250076293945 2.273733139038086
5.173749923706055 2.2747251987457275
5.271249771118164 2.282693862915039
5.368749618530273 2.285961151123047
5.466249942779541 2.2859671115875244
5.56374979019165 2.2877955436706543
5.661250114440918 2.2854349613189697
5.758749961853027 2.3002774715423584
5.856249809265137 2.2852067947387695
5.953749656677246 2.2842977046966553
6.0512495040893555 2.2776479721069336
6.148749828338623 2.280979871749878
6.246249675750732 2.2773213386535645
6.34375 2.2849724292755127
6.441249847412109 2.282440185546875
6.538749694824219 2.2836663722991943
6.636249542236328 2.2866129875183105
6.733749866485596 2.2746591567993164
6.831249713897705 2.282417058944702
6.928750038146973 2.288417339324951
7.026249885559082 2.2801990509033203
7.123749732971191 2.2855513095855713
7.221249580383301 2.283432722091675
7.31874942779541 2.283998489379883
7.416249752044678 2.2811267375946045
7.513749599456787 2.3102355003356934
7.611249923706055 2.2865993976593018
7.708749771118164 2.283980131149292
7.806249618530273 2.2986907958984375
7.903749465942383 2.2874855995178223
8.001249313354492 2.283240795135498
8.098749160766602 2.2957117557525635
8.196249008178711 2.2819435596466064
8.293749809265137 2.2846384048461914
8.391249656677246 2.295046806335449
8.488749504089355 2.287008762359619
8.586249351501465 2.280381441116333
8.68375015258789 2.286604642868042
8.78125 2.284742832183838
8.87874984741211 2.2841787338256836
8.976249694824219 2.282865524291992
9.073749542236328 2.2846639156341553
9.171249389648438 2.279099941253662
9.268749237060547 2.2873306274414062
9.366250038146973 2.2852256298065186
9.463749885559082 2.2898342609405518
9.561249732971191 2.2871904373168945
9.6587495803833 2.27825927734375
9.75624942779541 2.2868659496307373
9.85374927520752 2.285220146179199
9.951250076293945 2.287727117538452
