dangling_strand count
1 3697
2 435
3 199
4 275
5 64
6 426
7 262
8 9
9 110
10 112
11 20
12 33
13 32
14 13
15 42
16 20
17 4
18 12
19 20
20 6
21 4
22 7
23 4
24 7
25 4
26 6
27 2
28 1
30 2
31 1
32 3
33 1
34 2
38 1
40 1
61 1
primary_loop_size data
4.0 11
5.0 11
6.0 82
7.0 2
8.0 11
9.0 6
10.0 3
12.0 1
18.0 1
secondary_loop_size data
3.0 69
4.0 34
5.0 81
6.0 11
7.0 29
8.0 22
9.0 6
10.0 8
11.0 7
12.0 5
13.0 1
14.0 4
15.0 6
16.0 1
17.0 1
tertiary_loop_size data
2.0 57
3.0 43
4.0 40
5.0 21
6.0 33
7.0 29
8.0 26
9.0 26
10.0 10
11.0 17
12.0 8
13.0 5
14.0 6
15.0 4
16.0 5
18.0 1
19.0 3
21.0 2
22.0 1
23.0 2
25.0 1
33.0 1
quaternary_loop_size data
2.0 23
3.0 18
4.0 29
5.0 27
6.0 27
7.0 19
8.0 29
9.0 24
10.0 19
11.0 15
12.0 27
13.0 7
14.0 13
15.0 8
16.0 9
17.0 6
18.0 6
19.0 1
20.0 5
21.0 1
22.0 3
23.0 2
24.0 1
25.0 1
26.0 2
27.0 1
29.0 1
32.0 2
