frame thiol_conversion ene_conversion
0 0.0010636142625607414 0.0045368140920035716
1 0.005925850891410067 0.015942212647319765
2 0.00992706645056729 0.026485869978456478
3 0.014130875202593152 0.03642123938664299
4 0.017726904376012986 0.045900392852616934
5 0.021778768233387313 0.05588645292104932
6 0.025628038897893002 0.06566975034849831
7 0.02967990275526744 0.07575719173742235
8 0.03439019448946512 0.08523634520339629
9 0.03818881685575359 0.0939551387656824
10 0.042493922204213885 0.10262324166772274
11 0.04669773095623986 0.11205170447345081
12 0.05049635332252833 0.12153085793942464
13 0.05454821717990277 0.1301482701812191
14 0.05768841166936789 0.13896844506399697
15 0.06133508914100483 0.1478393106070206
16 0.06472852512155591 0.15716639209225702
17 0.06883103727714746 0.1665948548979851
18 0.07252836304700161 0.17566848308199212
19 0.07597244732576991 0.18428589532378659
20 0.08022690437601299 0.19249778228361425
21 0.08362034035656407 0.2005069066024585
22 0.08686183144246351 0.20942846280572802
23 0.09020461912479738 0.21708275250285136
24 0.09395259319286875 0.22580154606513747
25 0.09775121555915722 0.23355721708275246
26 0.10079011345218802 0.24156634140159672
27 0.10428484602917343 0.2493220124192118
28 0.10767828200972451 0.2558104169306805
29 0.11091977309562395 0.26285641870485366
30 0.11390802269043765 0.2711189963249271
31 0.11644043760129663 0.2784184514003295
32 0.11973257698541329 0.284298567988848
33 0.12312601296596437 0.2922063109872006
34 0.12616491085899517 0.2994043847421113
35 0.13006482982171796 0.30619693321505514
36 0.1327998379254457 0.31288810036750725
37 0.13573743922204218 0.3196806488404511
38 0.13857374392220423 0.32551007476872384
39 0.14181523500810378 0.3323533139019136
40 0.14480348460291737 0.33894309973387404
41 0.14769043760129663 0.345380813585097
42 0.15093192868719607 0.35232543403877836
43 0.15341369529983795 0.3579520973260677
44 0.15700972447325767 0.3648460271195032
45 0.15989667747163694 0.3711316689899886
46 0.16253038897893035 0.3770117855785071
47 0.1657718800648298 0.38390571537194274
48 0.168354943273906 0.389887213280953
49 0.17179902755267418 0.3964263084526676
50 0.17468598055105344 0.40261056900266123
51 0.1779781199351702 0.40864275757191737
52 0.1806118314424635 0.4143201115194526
53 0.18354943273906 0.4206057533899379
54 0.18699351701782818 0.42775313648460267
55 0.18907009724473256 0.4344443036370549
56 0.19221029173419768 0.4399188949436066
57 0.1948440032414911 0.4455455582308959
58 0.1979841977309562 0.4511215308579394
59 0.20061790923824963 0.45745786338867067
60 0.20380875202593196 0.463743505259156
61 0.20694894651539708 0.46926878722595367
62 0.20943071312803885 0.47459130655176784
63 0.21155794165316044 0.4800152071980738
64 0.21429294975688817 0.48472943860093776
65 0.21717990275526744 0.4907616271701939
66 0.21981361426256074 0.4955772398935496
67 0.22209278768233387 0.5012545938410848
68 0.22452390599675853 0.5065264225066531
69 0.2269550243111832 0.5110378912685338
70 0.22903160453808757 0.5153972880496769
71 0.2312601296596435 0.5188949436066405
72 0.23358995137763372 0.5235077936890128
73 0.23586912479740685 0.5267519959447472
74 0.23733792544570498 0.5300975795209732
75 0.23941450567260936 0.5337979977189202
76 0.24138978930307942 0.5377011785578507
77 0.2430611831442464 0.5416043593967812
78 0.2455935980551054 0.5459637561779243
79 0.24767017828200977 0.549765555696363
80 0.25 0.5540235711570143
81 0.25238047001620745 0.558180205297174
82 0.2547102917341977 0.5626409833988087
83 0.2568881685575365 0.5667469268787226
84 0.2587621555915721 0.5708528703586364
85 0.2608387358184765 0.5746546698770751
86 0.2630672609400324 0.5788619946774807
87 0.26504254457050247 0.5821568875934608
88 0.2669671799027553 0.5863642123938664
89 0.2694489465153971 0.5903180838930426
90 0.2711709886547812 0.5946774806741858
91 0.27314627228525123 0.5981244455709036
92 0.2751215559157212 0.6015714104676213
93 0.2768435980551054 0.6047649220631099
94 0.27851499189627227 0.6084653402610569
95 0.28013573743922204 0.6120136864782664
96 0.28180713128038903 0.6154606513749842
97 0.28408630470016205 0.6184007096692434
98 0.2864161264181524 0.6217462932454696
99 0.2881888168557536 0.6253453301229248
100 0.2895563209076175 0.6286402230389051
101 0.2915316045380876 0.6319858066151312
102 0.29320299837925445 0.6348751742491445
103 0.2951782820097245 0.6385755924470916
104 0.2963938411669368 0.6413635787606133
105 0.29796393841166935 0.6445570903561019
106 0.2999392220421394 0.6480040552528197
107 0.3021170988654781 0.6518058547712584
108 0.30404173419773095 0.6552021290077303
109 0.30571312803889794 0.6581421873019896
110 0.3067767423014587 0.6618426054999367
111 0.3084987844408428 0.6649854264351793
112 0.3103221231766613 0.6677227220884552
113 0.3121454619124797 0.6705613990622228
114 0.31407009724473256 0.6730959320745153
115 0.31523500810372773 0.6748701051831201
116 0.3168051053484603 0.6766442782917248
117 0.31786871961102103 0.6793815739450006
118 0.31918557536466774 0.6817133443163097
119 0.32095826580226905 0.6841971866683564
120 0.322072528363047 0.6862755037384363
121 0.32318679092382496 0.6886072741097453
122 0.3241491085899514 0.6904828285388418
123 0.3254153160453809 0.6923076923076923
124 0.3267828200972447 0.6946901533392472
125 0.3277451377633711 0.6969712330503105
126 0.32956847649918963 0.6994043847421112
127 0.3308346839546191 0.7014320111519452
128 0.3320502431118314 0.7035103282220251
129 0.3333164505672609 0.705588645292105
130 0.3341268233387358 0.7070079837789887
131 0.3350384927066451 0.7087314662273476
132 0.3362540518638574 0.7105056393359523
133 0.33741896272285254 0.711620833861361
134 0.3386345218800648 0.7130908630084907
135 0.3393942463533225 0.7145102014953745
136 0.3399513776337115 0.7157267773412749
137 0.3411669367909238 0.7170954251679128
138 0.3420279578606159 0.7187682169560259
139 0.3427876823338736 0.720745152705614
140 0.3438006482982172 0.7224686351539729
141 0.34526944894651534 0.7248510961855279
142 0.3466876012965965 0.7270814852363452
143 0.34770056726094 0.7288556583449499
144 0.3490174230145867 0.7307819034342922
145 0.34967585089141007 0.7325053858826511
146 0.35053687196110206 0.7342795589912559
147 0.3514991896272285 0.7357495881383855
148 0.3524108589951378 0.7371182359650235
149 0.3532718800648298 0.7388924090736282
150 0.3544874392220422 0.7405145102014954
151 0.35575364667747167 0.7421366113293626
152 0.3567159643435981 0.7438600937777214
153 0.3576782820097245 0.7452287416043595
154 0.35864059967585094 0.74705360537321
155 0.3597042139384117 0.7485236345203397
156 0.36041329011345213 0.7497402103662401
157 0.3616288492706645 0.7512609301736155
158 0.3623885737439222 0.7526295780002534
159 0.3632495948136143 0.7538968445063997
160 0.3640599675850892 0.7550627296920542
161 0.3647183954619124 0.756482068178938
162 0.36557941653160453 0.7580534786465594
163 0.36613654781199356 0.7594728171334432
164 0.3671495137763371 0.7616525155240147
165 0.3680105348460292 0.7631225446711444
166 0.3688209076175041 0.7643391205170447
167 0.3697325769854133 0.7655050057026993
168 0.3706442463533225 0.7668736535293372
169 0.37130267423014585 0.768292992016221
170 0.3720117504051864 0.7692561145608922
171 0.37261952998379255 0.770320618426055
172 0.37312601296596437 0.771689266252693
173 0.3736831442463533 0.7730579140793309
174 0.37444286871961097 0.7743758712457229
175 0.3754051863857374 0.7753896844506399
176 0.3763168557536467 0.7765555696362945
177 0.37692463533225284 0.77807628944367
178 0.3779376012965965 0.7793942466100621
179 0.3787986223662885 0.7805601317957167
180 0.3796596434359806 0.7818273983018629
181 0.38036871961102103 0.7828919021670258
182 0.38122974068071314 0.7839564060321886
183 0.3815336304700162 0.7849702192371055
184 0.38254659643435984 0.7861361044227602
185 0.3833063209076175 0.7872512989481688
186 0.3841166936790924 0.7882144214928399
187 0.3849777147487844 0.7894816879989862
188 0.38563614262560775 0.7906475731846407
189 0.38654781199351707 0.7914586237485743
190 0.38700364667747167 0.7922696743125079
191 0.3875607779578606 0.7934862501584083
192 0.38857374392220423 0.794601444683817
193 0.38913087520259315 0.7955138765682424
194 0.38989059967585094 0.796324927132176
195 0.39044773095623986 0.7972373590166012
196 0.39130875202593196 0.7982004815612723
197 0.3923723662884927 0.7988594601444684
198 0.3928788492706645 0.799670510708402
199 0.3932840356564019 0.8007350145735648
200 0.39394246353322526 0.8017995184387277
201 0.39465153970826583 0.8030160942846281
202 0.3953099675850892 0.8035736915473324
203 0.3957658022690438 0.8046381954124953
204 0.3963229335494327 0.805398555316183
205 0.39693071312803885 0.8059561525788873
206 0.39733589951377635 0.8064630591813459
207 0.39779173419773095 0.8071220377645418
208 0.39834886547812 0.8077810163477379
209 0.3989059967585089 0.808744138892409
210 0.3992605348460292 0.809453808135851
211 0.3997163695299838 0.8103662400202762
212 0.40037479740680715 0.8112786719047016
213 0.400628038897893 0.8122417944493727
214 0.40123581847649914 0.8131035356735521
215 0.40174230145867096 0.8137118235965024
216 0.402046191247974 0.8140666582182233
217 0.4024513776337115 0.8146749461411735
218 0.4028059157212318 0.8153339247243695
219 0.4031098055105349 0.8157394500063363
220 0.4036162884927067 0.8163477379292865
221 0.4041227714748784 0.8170574071727285
