cluster_size count
462 1
260 1
250 1
232 1
216 3
212 1
210 1
208 1
196 1
194 2
192 1
190 2
186 2
174 2
172 2
168 1
162 1
158 6
156 2
154 1
152 1
148 1
144 3
142 2
140 1
138 2
136 1
134 2
132 3
130 3
126 3
124 3
122 3
120 1
118 1
116 4
114 7
112 2
110 4
108 7
106 4
104 5
102 5
100 8
98 3
96 6
94 2
92 6
90 9
88 3
86 10
84 19
82 13
80 10
78 5
76 5
74 13
72 19
70 13
68 12
66 25
64 14
62 8
60 17
58 15
56 7
54 33
52 11
50 21
48 36
46 23
44 18
42 20
40 17
38 21
36 45
34 20
32 20
30 58
28 29
26 37
24 52
22 42
20 41
18 86
16 46
14 58
12 119
10 72
8 72
6 311
4 185
2 157
