dangle_size count
2 157
4 185
6 311
8 72
10 72
12 119
14 58
16 46
18 86
20 41
22 42
24 52
26 37
28 29
30 58
32 20
34 20
36 45
38 21
40 17
42 20
44 18
46 23
48 36
50 21
52 11
54 33
56 7
58 15
60 17
62 8
64 14
66 25
68 12
70 13
72 19
74 13
76 5
78 5
80 10
82 13
84 19
86 10
88 3
90 9
92 6
94 2
96 6
98 3
100 8
102 5
104 5
106 4
108 7
110 4
112 2
114 7
116 4
118 1
120 1
122 3
124 3
126 3
130 3
132 3
134 2
136 1
138 2
140 1
142 2
144 3
148 1
152 1
154 1
156 2
158 6
162 1
168 1
172 2
174 2
186 2
190 2
192 1
194 2
196 1
208 1
210 1
212 1
216 3
232 1
250 1
260 1
462 1
