dangling_strand data
1 1898
2 454
3 782
4 508
5 44
6 388
7 237
8 30
9 106
10 113
11 23
12 80
13 51
14 11
15 39
16 32
17 7
18 19
19 17
20 7
21 5
22 9
23 7
24 17
25 7
26 5
27 6
28 1
29 2
30 3
31 2
32 2
33 1
34 1
36 1
37 3
38 5
39 1
40 1
41 1
42 2
43 2
46 1
56 1
59 1
primary_loop_size data
4.0 26
5.0 32
6.0 41
7.0 12
8.0 8
9.0 4
11.0 3
12.0 5
13.0 2
14.0 1
15.0 1
16.0 1
secondary_loop_size data
3.0 67
4.0 45
5.0 36
6.0 15
7.0 19
8.0 18
9.0 8
10.0 4
11.0 5
12.0 3
13.0 2
14.0 4
15.0 3
16.0 1
20.0 1
22.0 1
25.0 1
tertiary_loop_size data
2.0 29
3.0 36
4.0 29
5.0 34
6.0 35
7.0 18
8.0 10
9.0 20
10.0 19
11.0 9
12.0 5
13.0 8
14.0 4
15.0 6
16.0 1
17.0 2
20.0 2
21.0 1
26.0 1
quaternary_loop_size data
2.0 20
3.0 18
4.0 27
5.0 20
6.0 24
7.0 18
8.0 21
9.0 14
10.0 11
11.0 15
12.0 7
13.0 4
14.0 5
15.0 6
16.0 5
17.0 4
18.0 7
19.0 10
21.0 2
22.0 4
24.0 5
25.0 1
44.0 1
