dangling_strand data
1 352
5 253
7 73
10 3
11 124
13 41
14 3
16 1
17 37
18 1
19 19
20 1
22 4
23 28
24 1
25 9
28 3
29 12
31 8
32 1
33 1
35 8
38 1
39 1
40 2
41 4
43 1
47 2
55 1
56 1
primary_loop_size data
6.0 279
12.0 41
13.0 1
18.0 11
19.0 2
20.0 1
24.0 6
25.0 1
30.0 2
36.0 2
secondary_loop_size data
12.0 47
18.0 35
24.0 15
25.0 1
26.0 1
30.0 9
31.0 1
36.0 1
42.0 4
48.0 2
72.0 1
tertiary_loop_size data
12.0 3
18.0 22
19.0 1
24.0 14
25.0 2
30.0 14
36.0 10
37.0 2
38.0 1
42.0 8
48.0 2
49.0 1
50.0 1
54.0 3
55.0 1
60.0 2
61.0 1
quaternary_loop_size data
18.0 1
24.0 16
30.0 17
36.0 16
37.0 2
42.0 13
43.0 1
48.0 13
49.0 4
50.0 1
54.0 9
60.0 5
66.0 5
68.0 1
72.0 2
74.0 1
78.0 2
79.0 2
85.0 1
90.0 2
102.0 1
