0,0
425,1
209,2
1104,3
677,4
4,5
307,6
108,7
37,8
181,9
150,10
3,11
81,12
47,13
24,14
42,15
50,16
5,17
30,18
19,19
7,20
21,21
25,22
5,23
11,24
4,25
7,26
9,27
13,28
3,29
8,30
9,31
3,32
11,33
3,34
0,35
4,36
2,37
2,38
1,39
2,40
2,41
3,42
2,43
0,44
2,45
5,46
1,47
1,48
1,49
2,50
0,51
1,52
4,53
0,54
0,55
1,56
0,57
0,58
1,59
0,60
1,61
0,62
0,63
0,64
0,65
0,66
1,67
0,68
0,69
1,70
0,71
0,72
0,73
0,74
0,75
1,76
0,77
1,78
0,79
0,80
0,81
0,82
0,83
1,84
0,85
0,86
0,87
0,88
1,89
0,90
1,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
1,110
0,111
0,112
0,113
1,114
