dangling_strand count
1 466
2 220
3 1089
4 684
5 2
6 330
7 110
8 23
9 195
10 143
11 3
12 98
13 35
14 17
15 67
16 51
17 3
18 36
19 16
20 8
21 26
22 18
23 2
24 6
25 5
26 4
27 11
28 10
29 1
30 8
31 2
33 7
34 4
35 1
36 4
37 2
38 1
39 4
40 8
41 1
42 2
45 1
46 2
47 1
48 1
49 2
51 1
53 1
64 1
primary_loop_size data
4.0 23
5.0 47
6.0 17
7.0 23
8.0 8
9.0 6
10.0 4
11.0 2
12.0 2
13.0 2
14.0 2
22.0 1
secondary_loop_size data
3.0 58
4.0 51
5.0 19
6.0 22
7.0 16
8.0 17
9.0 11
10.0 9
11.0 1
12.0 2
13.0 3
14.0 3
15.0 3
16.0 1
18.0 1
20.0 1
21.0 2
25.0 1
32.0 1
tertiary_loop_size data
1.0 1
2.0 38
3.0 35
4.0 27
5.0 27
6.0 28
7.0 13
8.0 14
9.0 19
10.0 9
11.0 3
12.0 5
13.0 7
14.0 5
15.0 7
16.0 4
17.0 1
18.0 1
19.0 2
22.0 2
25.0 1
28.0 1
40.0 1
quaternary_loop_size data
2.0 9
3.0 12
4.0 18
5.0 15
6.0 11
7.0 22
8.0 17
9.0 15
10.0 12
11.0 7
12.0 6
13.0 8
14.0 7
15.0 4
16.0 7
17.0 2
18.0 2
20.0 2
21.0 3
22.0 4
23.0 5
24.0 2
25.0 2
26.0 1
27.0 1
31.0 1
44.0 1
