dangling_strand count
1 413
2 313
3 1143
4 730
5 11
6 292
7 105
8 43
9 156
10 144
11 12
12 99
13 35
14 16
15 54
16 50
17 6
18 29
19 20
20 12
21 17
22 23
23 4
24 20
25 9
26 6
27 15
28 5
29 3
30 5
31 6
32 3
33 5
34 2
35 6
36 3
38 1
39 3
40 2
42 2
43 2
44 1
46 1
51 1
54 1
64 1
66 1
67 1
70 1
74 1
88 1
124 1
primary_loop_size data
4.0 25
5.0 45
6.0 16
7.0 14
8.0 11
9.0 5
10.0 4
11.0 2
12.0 1
14.0 4
secondary_loop_size data
3.0 61
4.0 58
5.0 21
6.0 28
7.0 26
8.0 10
9.0 8
10.0 7
11.0 4
12.0 2
13.0 5
14.0 2
17.0 3
19.0 2
21.0 1
23.0 2
tertiary_loop_size data
2.0 20
3.0 17
4.0 12
5.0 21
6.0 26
7.0 14
8.0 14
9.0 6
10.0 10
11.0 7
12.0 6
13.0 6
14.0 10
15.0 4
16.0 4
17.0 3
18.0 4
19.0 2
20.0 1
22.0 2
44.0 1
quaternary_loop_size data
1.0 1
2.0 5
3.0 7
4.0 13
5.0 16
6.0 18
7.0 14
8.0 10
9.0 18
10.0 12
11.0 14
12.0 7
13.0 8
14.0 10
15.0 7
16.0 7
17.0 6
18.0 6
19.0 3
20.0 2
21.0 2
22.0 4
23.0 1
26.0 1
28.0 2
29.0 2
30.0 2
31.0 1
32.0 1
40.0 1
