dangling_strand data
1 1934
2 469
3 723
4 585
5 40
6 381
7 244
8 28
9 111
10 110
11 20
12 81
13 53
14 11
15 28
16 40
17 6
18 16
19 24
20 9
21 18
22 13
23 3
24 9
25 7
26 5
27 3
28 4
29 2
30 2
31 2
32 2
33 2
34 3
36 3
39 2
40 3
42 1
43 1
45 1
48 2
54 1
56 1
62 1
100 1
primary_loop_size data
4.0 21
5.0 29
6.0 39
7.0 9
8.0 9
9.0 4
10.0 2
11.0 2
12.0 2
13.0 1
14.0 2
16.0 1
18.0 2
secondary_loop_size data
3.0 58
4.0 46
5.0 31
6.0 16
7.0 32
8.0 15
9.0 8
10.0 13
11.0 7
12.0 9
13.0 6
14.0 2
16.0 1
17.0 3
18.0 1
19.0 1
21.0 2
tertiary_loop_size data
2.0 37
3.0 37
4.0 38
5.0 25
6.0 34
7.0 14
8.0 18
9.0 27
10.0 9
11.0 10
12.0 4
13.0 4
14.0 4
15.0 7
16.0 3
17.0 1
18.0 1
20.0 2
23.0 2
26.0 1
27.0 1
quaternary_loop_size data
2.0 12
3.0 16
4.0 20
5.0 22
6.0 19
7.0 26
8.0 18
9.0 13
10.0 18
11.0 14
12.0 11
13.0 8
14.0 10
15.0 4
16.0 5
17.0 5
18.0 3
19.0 6
20.0 2
21.0 2
22.0 3
24.0 1
26.0 1
29.0 2
