dangling_strand data
1 1839
2 425
3 740
4 554
5 42
6 380
7 239
8 34
9 120
10 100
11 24
12 79
13 59
14 14
15 35
16 39
17 17
18 17
19 22
20 5
21 9
22 13
23 5
24 9
25 12
26 2
27 5
28 3
29 2
30 1
31 3
32 2
33 2
34 1
35 2
36 1
37 2
39 3
40 2
41 2
43 1
45 1
48 1
53 1
54 1
primary_loop_size data
4.0 24
5.0 20
6.0 30
7.0 7
8.0 11
9.0 8
10.0 2
11.0 4
secondary_loop_size data
3.0 69
4.0 40
5.0 37
6.0 16
7.0 23
8.0 24
9.0 10
10.0 10
11.0 2
12.0 7
13.0 3
14.0 4
15.0 1
17.0 2
18.0 1
20.0 1
21.0 1
23.0 1
tertiary_loop_size data
2.0 42
3.0 34
4.0 28
5.0 24
6.0 19
7.0 24
8.0 9
9.0 17
10.0 18
11.0 11
12.0 9
13.0 3
14.0 6
15.0 3
16.0 2
17.0 3
18.0 3
19.0 4
20.0 2
22.0 2
26.0 1
32.0 1
quaternary_loop_size data
2.0 13
3.0 14
4.0 16
5.0 29
6.0 14
7.0 12
8.0 15
9.0 19
10.0 15
11.0 17
12.0 9
13.0 9
14.0 5
15.0 8
16.0 7
17.0 5
18.0 3
19.0 4
20.0 3
21.0 1
22.0 2
23.0 2
28.0 1
31.0 1
