frame thiol_conv ene_conv
0 0.0008102906917857 0.0046664975906670
1 0.0046085283095311 0.0148110575703779
2 0.0098754178061380 0.0268323611463352
3 0.0141294439380127 0.0363682475272635
4 0.0184341132381242 0.0480344915039310
5 0.0222323508558695 0.0563530306872939
6 0.0260305884736149 0.0665483134669034
7 0.0293730375772309 0.0762363682475272
8 0.0341334953914717 0.0867359878265280
9 0.0376785171680341 0.0963733198072534
10 0.0414261116175428 0.1053512553892975
11 0.0454269219082346 0.1148364189703271
12 0.0498328775448192 0.1245751965508496
13 0.0539856173402208 0.1337053005325894
14 0.0578344981262028 0.1433426325133147
15 0.0617846652486580 0.1520162312959675
16 0.0654309733616935 0.1604869388790261
17 0.0693304973159121 0.1696170428607660
18 0.0727742327560013 0.1780877504438245
19 0.0763698977008002 0.1863048440273903
20 0.0803707079914919 0.1949277200101446
21 0.0846753772916033 0.2035505959928988
22 0.0880684695634559 0.2126299771747401
23 0.0914615618353084 0.2214050215571900
24 0.0951585131165805 0.2293685011412629
25 0.0981971032107769 0.2373319807253360
26 0.1016914818191026 0.2448896779102206
27 0.1053884331003747 0.2528024346943951
28 0.1083763800263344 0.2598021810803957
29 0.1123265471487896 0.2678671062642658
30 0.1160741415982984 0.2759827542480345
31 0.1203281677301732 0.2837940654324119
32 0.1243796211891016 0.2925691098148617
33 0.1278739997974273 0.3002282525995434
34 0.1309632330598602 0.3079888409840223
35 0.1348627570140788 0.3154450925691098
36 0.1379013471082751 0.3219376109561248
37 0.1415982983895473 0.3295967537408065
38 0.1447888179884533 0.3365965001268070
39 0.1485364124379621 0.3444585341110830
40 0.1516762888686316 0.3508496068983008
41 0.1545629494581181 0.3574435708851128
42 0.1581586144029170 0.3642911488714177
43 0.1618049225159526 0.3708851128582298
44 0.1649447989466221 0.3770732944458534
45 0.1687430365643675 0.3836672584326655
46 0.1723387015091664 0.3902612224194776
47 0.1748202167527600 0.3963986812072027
48 0.1783652385293224 0.4031448135937103
49 0.1816064012964651 0.4094851635810297
50 0.1846449913906614 0.4160791275678417
51 0.1876835814848576 0.4217093583565813
52 0.1905195989061076 0.4269845295460309
53 0.1930517573179378 0.4330712655338574
54 0.1958877747391877 0.4396145067207710
55 0.1993315101792769 0.4453461831093076
56 0.2029271751240758 0.4519908698960182
57 0.2057631925453256 0.4587877250824246
58 0.2090549984807050 0.4634034998731930
59 0.2118910159019548 0.4689830078620340
60 0.2146257469867315 0.4747146842505706
61 0.2170059758938520 0.4799391326401218
62 0.2202471386609947 0.4856200862287599
63 0.2230831560822445 0.4902358610195283
64 0.2261723893446774 0.4960182602079635
65 0.2287551909247443 0.5011412629977174
66 0.2313886356730477 0.5056048693887902
67 0.2344778689354806 0.5106264265787471
68 0.2371113136837840 0.5150900329698199
69 0.2395421857591411 0.5192493025615014
70 0.2417704851615518 0.5244737509510524
71 0.2443026435733819 0.5288866345422267
72 0.2468854451534488 0.5331980725336039
73 0.2488098855464398 0.5374587877250825
74 0.2513926871265066 0.5420745625158510
75 0.2537222728653905 0.5461831093076338
76 0.2563050744454574 0.5503931016992138
77 0.2581788716702117 0.5544509256910981
78 0.2601539552314392 0.5585594724828811
79 0.2625341841385597 0.5625158508749684
80 0.2647624835409703 0.5672837940654324
81 0.2665349944292515 0.5715952320568095
82 0.2687126506634255 0.5751965508496069
83 0.2707383773928898 0.5783413644433173
84 0.2724096019446977 0.5813340096373321
85 0.2739795401600325 0.5849353284301293
86 0.2756507647118404 0.5889424296221151
87 0.2780309936189608 0.5927466396145067
88 0.2794490023295857 0.5965001268069998
89 0.2818292312367062 0.5997971088004057
90 0.2839056011344070 0.6033984275932032
91 0.2855261825179783 0.6073548059852905
92 0.2873493365744961 0.6108039563783920
93 0.2890712042945407 0.6143545523712909
94 0.2912995036969512 0.6181080395637839
95 0.2931733009217057 0.6214557443570885
96 0.2953509571558797 0.6253106771493786
97 0.2970728248759242 0.6286076591427847
98 0.2988453357642054 0.6317524727364950
99 0.3006684898207231 0.6347451179305097
100 0.3022384280360579 0.6380928227238143
101 0.3038083662513927 0.6412376363175247
102 0.3057328066443836 0.6446867867106264
103 0.3075053175326649 0.6480344915039310
104 0.3092778284209460 0.6509764138980472
105 0.3109996961409905 0.6534618310930763
106 0.3130760660386914 0.6562008622875983
107 0.3143927884128431 0.6591935074816130
108 0.3159120834599413 0.6619832614760335
109 0.3174313785070394 0.6651787978696424
110 0.3189506735541375 0.6684757798630485
111 0.3206218981059455 0.6710626426578747
112 0.3220399068165705 0.6737002282525996
113 0.3240656335460347 0.6768450418463099
114 0.3252304264154765 0.6790261222419478
115 0.3269016509672845 0.6818158762363682
116 0.3285728755190924 0.6850114126299771
117 0.3300921705661907 0.6877504438244991
118 0.3318140382862352 0.6901851382196298
119 0.3330801174921503 0.6924169414151662
120 0.3343461966980654 0.6943951306112097
121 0.3361693507545832 0.6968805478062390
122 0.3370809277828420 0.6990109054019782
123 0.3384989364934671 0.7015470453969059
124 0.3399675883723285 0.7041339081917322
125 0.3413855970829535 0.7064671569870657
126 0.3424491036159222 0.7086482373827035
127 0.3440696849994935 0.7104235353791529
128 0.3455383368783551 0.7125538929748922
129 0.3464499139066139 0.7141262997717475
130 0.3479185657854755 0.7159523205680953
131 0.3486275701407880 0.7178290641643419
132 0.3498430061784665 0.7202130357595740
133 0.3508558695431986 0.7220897793558204
134 0.3522738782538236 0.7236621861526756
135 0.3534386711232654 0.7258432665483134
136 0.3546541071609440 0.7276692873446614
137 0.3557682568621493 0.7296474765407051
138 0.3572369087410109 0.7314734973370530
139 0.3584017016104527 0.7334009637331981
140 0.3593132786387117 0.7348719249302562
141 0.3606300010128634 0.7372558965254883
142 0.3618960802187785 0.7394369769211260
143 0.3626557277423276 0.7412629977174741
144 0.3640737364529525 0.7430890185138219
145 0.3646814544717918 0.7442556429114887
146 0.3659475336777068 0.7454729901090540
147 0.3666565380330193 0.7467410601065179
148 0.3673148992200952 0.7485670809028658
149 0.3685809784260103 0.7500380420999240
150 0.3696444849589791 0.7517118944965762
151 0.3705560619872379 0.7529799644940400
152 0.3715689253519701 0.7549074308901851
153 0.3729869340625950 0.7563276692873446
154 0.3743542996049833 0.7582551356834897
155 0.3749620176238225 0.7598275424803449
156 0.3759748809885547 0.7613999492772001
157 0.3771903170262332 0.7628709104742581
158 0.3778993213815456 0.7643925944712148
159 0.3791147574192242 0.7661171696677657
160 0.3801276207839562 0.7674866852650266
161 0.3812924136533982 0.7692619832614760
162 0.3822546338498937 0.7710372812579255
163 0.3830142813734427 0.7725589652548821
164 0.3840271447381748 0.7741820948516358
165 0.3850906512711435 0.7751458280497083
166 0.3859009419629292 0.7762617296474765
167 0.3866605894864783 0.7777834136444332
168 0.3875721665147371 0.7795079888409840
169 0.3884331003747594 0.7808267816383464
170 0.3891421047300719 0.7820948516358103
171 0.3901043249265674 0.7836672584326655
172 0.3908639724501165 0.7853411108293178
173 0.3914716904689557 0.7866091808267817
174 0.3924339106654512 0.7882323104235354
175 0.3933454876937101 0.7894496576211008
176 0.3941557783854958 0.7912249556175501
177 0.3951686417502279 0.7919857976160284
178 0.3961308619467234 0.7926959168146082
179 0.3966372936290894 0.7940654324118691
180 0.3974475843208751 0.7952320568095359
181 0.3983591613491340 0.7966015724067969
182 0.3992707383773929 0.7979710880040578
183 0.3999797427327053 0.7988840984022318
184 0.4009419629292008 0.7996449404007101
185 0.4014483946115669 0.8010144559979711
186 0.4022586853033526 0.8020289119959422
187 0.4032209054998481 0.8028404767943190
188 0.4035754076775043 0.8039563783920872
189 0.4043350552010534 0.8048693887902612
190 0.4050947027246025 0.8057823991884352
191 0.4056011344069685 0.8067461323865077
192 0.4063101387622809 0.8077098655845802
193 0.4071204294540667 0.8083185391833629
194 0.4076775043046693 0.8095358863809282
195 0.4080320064823255 0.8104996195790007
196 0.4085384381646916 0.8115647983768703
197 0.4093487288564772 0.8126806999746385
198 0.4100070900435532 0.8134415419731169
199 0.4104628785576826 0.8145067207709866
200 0.4111212397447584 0.8155211767689576
201 0.4117796009318343 0.8161298503677403
202 0.4123873189506736 0.8172457519655085
203 0.4130456801377494 0.8179558711640882
204 0.4137546844930619 0.8186659903626681
205 0.4144130456801377 0.8194775551610449
206 0.4151220500354502 0.8199340603601319
207 0.4155778385495796 0.8205427339589145
208 0.4160842702319457 0.8210499619579001
209 0.4166413450825484 0.8219629723560741
210 0.4170464904284412 0.8227238143545523
211 0.4174009926060974 0.8234339335531321
212 0.4178567811202268 0.8241440527517119
213 0.4183632128025929 0.8254121227491757
214 0.4188696444849590 0.8261729647476541
215 0.4196292920085081 0.8269338067461324
216 0.4200344373544009 0.8275932031448137
217 0.4206421553732401 0.8281004311437992
218 0.4212498733920794 0.8286076591427847
219 0.4215030892332624 0.8293177783413644
220 0.4218069482426821 0.8297742835404515
221 0.4222120935885749 0.8304336799391326
222 0.4226678821027043 0.8309409079381181
223 0.4231743137850704 0.8317017499365965
224 0.4235794591309633 0.8323104235353791
225 0.4239339613086195 0.8330205427339590
226 0.4242378203180391 0.8334770479330459
227 0.4247442520004051 0.8343393355313213
228 0.4253519700192444 0.8347451179305098
229 0.4257571153651373 0.8354552371290895
230 0.4262635470475032 0.8364189703271621
231 0.4267699787298693 0.8374841491250317
232 0.4273270535804720 0.8380420999239158
233 0.4276309125898916 0.8386000507227999
234 0.4282386306087309 0.8391580015216840
235 0.4286437759546238 0.8396652295206696
236 0.4289982781322800 0.8404260715191478
237 0.4295047098146461 0.8408825767182349
238 0.4298592119923023 0.8414912503170175
239 0.4301630710017219 0.8421506467156987
240 0.4305682163476147 0.8427593203144814
241 0.4309733616935075 0.8431651027136697
242 0.4314797933758736 0.8434694395130611
243 0.4318342955535298 0.8442302815115394
244 0.4323913704041324 0.8448389551103221
245 0.4329484452547351 0.8455997971088004
246 0.4333535906006279 0.8459548567080903
247 0.4338093791147574 0.8467156987065686
248 0.4341132381241770 0.8473750951052498
249 0.4344170971335967 0.8477808775044382
250 0.4346703129747796 0.8482881055034238
251 0.4351261014889092 0.8486938879026122
252 0.4353286741618556 0.8492518387014963
253 0.4357844626759850 0.8497590667004818
254 0.4360376785171680 0.8502155718995689
255 0.4363415375265877 0.8509764138980471
256 0.4366960397042439 0.8513821962972357
257 0.4371011850501367 0.8519401470961196
258 0.4376076167325028 0.8523966522952067
259 0.4377595462372126 0.8526502662946995
260 0.4381646915831054 0.8532082170935835
261 0.4387724096019447 0.8538168906923662
262 0.4391775549478375 0.8543241186913517
263 0.4395320571254938 0.8546284554907431
264 0.4398865593031500 0.8550849606898301
265 0.4401397751443330 0.8557950798884099
266 0.4405955636584624 0.8563023078873954
267 0.4412539248455384 0.8569617042860767
268 0.4415071406867214 0.8574689322850622
269 0.4417603565279044 0.8580268830839463
270 0.4422161450420339 0.8582804970834390
271 0.4426719335561633 0.8591935074816131
272 0.4429757925655829 0.8597514582804970
273 0.4435328674161856 0.8600557950798884
274 0.4437860832573686 0.8606644686786711
275 0.4442925149397347 0.8608673598782652
276 0.4444444444444444 0.8613745878772509
277 0.4447483034538641 0.8619325386761350
278 0.4451028056315203 0.8627948262744103
279 0.4454066646409399 0.8630991630738016
280 0.4458118099868328 0.8636571138726857
281 0.4462675985009622 0.8641136190717728
282 0.4464701711739086 0.8642150646715698
283 0.4466221006786184 0.8644686786710627
284 0.4469766028562747 0.8649251838701496
285 0.4473311050339309 0.8654831346690337
286 0.4476856072115871 0.8661425310677149
287 0.4479894662210068 0.8666497590667005
288 0.4483439683986630 0.8670048186659903
289 0.4485465410716094 0.8673091554653817
290 0.4486478274080826 0.8677656606644687
291 0.4490023295857389 0.8679685518640630
292 0.4491542590904487 0.8685265026629470
293 0.4496100476045781 0.8692366218615267
294 0.4500151929504710 0.8694902358610195
295 0.4502177656234174 0.8696931270606137
296 0.4507241973057835 0.8700481866599037
297 0.4509267699787298 0.8702510778594978
298 0.4511799858199129 0.8707583058584834
299 0.4512306289881495 0.8714177022571645
300 0.4518889901752253 0.8718742074562515
301 0.4522941355211182 0.8722799898554401
302 0.4525979945305378 0.8728886634542227
303 0.4528512103717208 0.8737002282525995
304 0.4533069988858504 0.8743089018513822
305 0.4537121442317431 0.8749175754501648
306 0.4539147169046895 0.8754248034491504
307 0.4542692190823457 0.8757291402485418
308 0.4546237212600021 0.8761349226477302
309 0.4548262939329485 0.8765407050469186
310 0.4551301529423680 0.8768450418463100
311 0.4554340119517877 0.8771493786457012
312 0.4557378709612073 0.8775551610448897
