dangling_strand data
1 647
5 488
7 197
10 17
11 211
13 72
14 12
16 12
17 95
18 6
19 31
20 15
22 7
23 46
24 7
25 14
26 15
28 9
29 16
30 11
31 6
32 11
33 2
34 13
35 7
36 11
37 1
38 6
40 1
41 2
42 1
43 5
45 4
46 7
47 1
48 2
49 1
50 3
51 3
52 2
53 1
55 1
56 1
58 1
59 3
60 2
61 1
62 1
65 2
73 1
75 1
77 1
78 2
79 1
90 1
95 1
97 1
101 1
102 2
110 1
113 1
114 1
117 1
127 1
218 1
primary_loop_size data
6.0 235
12.0 26
13.0 7
18.0 7
19.0 4
20.0 1
24.0 2
25.0 2
31.0 3
32.0 1
43.0 1
50.0 1
secondary_loop_size data
12.0 31
18.0 21
19.0 5
24.0 8
25.0 7
26.0 1
30.0 4
36.0 2
37.0 1
38.0 1
56.0 1
57.0 1
tertiary_loop_size data
12.0 2
18.0 7
24.0 8
25.0 1
30.0 10
31.0 1
36.0 5
37.0 3
38.0 1
42.0 3
43.0 2
44.0 1
48.0 1
49.0 1
50.0 1
54.0 1
55.0 1
63.0 1
quaternary_loop_size data
24.0 6
30.0 6
31.0 1
36.0 7
37.0 3
42.0 3
43.0 4
44.0 1
48.0 1
49.0 1
50.0 2
54.0 1
55.0 1
56.0 2
61.0 1
63.0 1
67.0 1
68.0 1
69.0 1
73.0 2
75.0 1
