dangling_strand count
1 561
5 431
7 187
10 11
11 201
13 80
14 8
16 10
17 89
18 1
19 41
20 6
22 3
23 46
24 3
25 18
26 7
28 6
29 18
30 7
31 10
32 5
33 2
34 5
35 8
36 9
37 5
38 1
40 3
41 1
42 3
43 2
44 1
46 5
47 1
48 2
49 1
50 2
51 1
52 1
54 2
61 1
63 1
65 1
67 1
77 1
78 1
93 1
95 1
96 1
110 1
123 1
142 1
primary_loop_size data
6.0 281
12.0 34
13.0 7
18.0 9
19.0 2
24.0 2
31.0 2
32.0 1
36.0 1
43.0 1
secondary_loop_size data
12.0 38
18.0 28
19.0 4
24.0 15
25.0 6
26.0 1
30.0 8
31.0 1
36.0 4
37.0 1
38.0 1
42.0 1
43.0 1
56.0 1
57.0 1
tertiary_loop_size data
12.0 3
18.0 14
24.0 14
25.0 1
30.0 12
31.0 1
36.0 6
37.0 1
42.0 5
43.0 2
44.0 2
48.0 3
49.0 2
54.0 1
61.0 1
quaternary_loop_size data
18.0 1
24.0 7
30.0 7
31.0 1
36.0 12
37.0 4
42.0 4
44.0 1
48.0 2
49.0 1
50.0 1
54.0 3
55.0 1
56.0 1
60.0 4
61.0 2
66.0 1
67.0 1
78.0 1
