strand_size count
1 103
2 68
4 112
5 81
6 367
7 61
8 27
9 1
10 35
11 63
12 156
13 51
14 8
15 1
16 22
17 46
18 90
19 35
20 13
21 1
22 19
23 27
24 81
25 37
26 9
28 13
29 24
30 60
31 24
32 12
34 7
35 18
36 42
37 24
38 4
39 3
40 5
41 17
42 23
43 11
44 7
45 1
46 4
47 9
48 36
49 17
50 3
51 1
52 2
53 13
54 21
55 11
56 2
57 2
58 2
59 12
60 15
61 4
62 1
63 4
64 5
65 6
66 20
67 7
68 1
70 1
71 5
72 9
73 8
74 3
75 1
76 2
77 7
78 13
79 4
80 1
81 1
82 2
83 2
84 3
85 3
86 1
87 1
88 4
89 3
90 10
91 3
92 1
93 1
94 3
95 2
96 8
97 2
99 2
100 2
101 5
102 8
103 1
105 1
106 3
107 4
108 4
109 2
111 1
114 4
115 1
116 1
117 1
119 3
120 2
123 1
124 1
126 1
130 1
133 1
138 1
141 1
145 2
146 1
150 2
151 3
153 2
154 1
156 2
157 2
162 1
165 2
168 1
169 1
171 1
179 1
181 1
183 1
185 1
187 1
192 1
194 1
197 1
207 1
214 1
218 1
231 2
238 1
255 1
257 2
328 1
347 1
366 1
395 1
419 1
446 1
