cluster_size count
32025 1
446 1
419 1
395 1
366 1
347 1
328 1
257 2
255 1
238 1
231 2
218 1
214 1
207 1
197 1
194 1
185 1
183 1
181 1
171 1
169 1
165 2
162 1
157 2
154 1
153 2
151 1
150 1
146 1
145 2
141 1
130 1
124 1
123 1
119 3
117 1
116 1
114 1
111 1
108 3
107 1
106 3
105 1
102 4
101 3
100 2
99 2
97 2
96 4
95 1
94 3
93 1
92 1
91 1
90 5
89 1
88 4
87 1
86 1
85 1
84 1
83 1
82 2
81 1
80 1
79 2
78 2
76 2
75 1
74 3
73 2
72 5
71 2
70 1
68 1
66 6
65 1
64 5
63 4
62 1
61 1
60 6
59 1
58 2
57 2
56 2
55 1
54 7
53 2
52 2
51 1
50 3
49 4
48 11
47 1
46 4
45 1
44 7
43 3
42 12
41 1
40 5
39 3
38 4
37 3
36 20
34 7
32 12
31 1
30 13
29 1
28 13
26 9
24 17
23 2
22 19
21 1
20 13
18 31
16 22
15 1
14 8
12 70
10 35
9 1
8 27
6 214
5 1
4 112
2 68
