dangling_strand data
1 323
5 241
7 96
10 4
11 113
13 48
14 1
16 4
17 62
19 17
20 1
23 17
25 13
26 2
28 3
29 13
31 6
34 3
35 6
37 2
41 2
43 1
46 1
47 3
51 1
55 1
56 1
58 1
74 1
75 1
primary_loop_size data
6.0 305
12.0 55
13.0 2
18.0 16
24.0 1
48.0 1
secondary_loop_size data
12.0 68
18.0 39
19.0 2
24.0 23
30.0 12
36.0 5
42.0 1
80.0 1
tertiary_loop_size data
12.0 5
18.0 24
24.0 27
25.0 1
30.0 11
31.0 1
36.0 11
37.0 3
42.0 3
43.0 1
48.0 4
49.0 1
54.0 4
60.0 2
72.0 1
78.0 1
quaternary_loop_size data
18.0 3
24.0 6
30.0 16
36.0 13
37.0 1
42.0 12
43.0 3
48.0 18
49.0 2
54.0 5
55.0 1
60.0 6
63.0 1
66.0 2
72.0 1
73.0 1
78.0 1
84.0 1
85.0 1
96.0 1
102.0 1
103.0 1
