Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8100                                0.88584                                           0.23334                                      2907.31637                                         17902.25319                                    2474.13469                
       8200                                0.84320                                          -0.07573                                      2767.37123                                         18200.08905                                    2547.48956                
       8300                                0.87875                                          -0.06554                                      2884.04400                                         18518.89149                                    2593.27555                
       8400                                0.94322                                          -0.21396                                      3095.64551                                         18794.84151                                    2631.17820                
       8500                                0.96889                                           0.44997                                      3179.88583                                         18843.18251                                    2640.14818                
       8600                                0.88987                                          -0.05780                                      2920.54970                                         18783.45605                                    2650.00714                
       8700                                0.82806                                          -0.51214                                      2717.69792                                         18665.64227                                    2670.09756                
       8800                                0.85577                                          -0.20537                                      2808.64323                                         18604.09959                                    2642.61169                
       8900                                0.93874                                           0.74806                                      3080.95512                                         18604.35141                                    2572.22918                
       9000                                0.95778                                           0.63210                                      3143.44648                                         18499.88481                                    2548.83183                
Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8100                                0.88584                                           0.23334                                      2907.31637                                         17902.25319                                    2474.13469                
       8200                                0.84320                                          -0.07573                                      2767.37123                                         18200.08905                                    2547.48956                
       8300                                0.87875                                          -0.06554                                      2884.04400                                         18518.89149                                    2593.27555                
       8400                                0.94322                                          -0.21396                                      3095.64551                                         18794.84151                                    2631.17820                
       8500                                0.96889                                           0.44997                                      3179.88583                                         18843.18251                                    2640.14818                
       8600                                0.88987                                          -0.05780                                      2920.54970                                         18783.45605                                    2650.00714                
       8700                                0.82806                                          -0.51214                                      2717.69792                                         18665.64227                                    2670.09756                
       8800                                0.85577                                          -0.20537                                      2808.64323                                         18604.09959                                    2642.61169                
       8900                                0.93874                                           0.74806                                      3080.95512                                         18604.35141                                    2572.22918                
       9000                                0.95778                                           0.63210                                      3143.44648                                         18499.88481                                    2548.83183                
Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8100                                0.88584                                           0.23334                                      2907.31637                                         17902.25319                                    2474.13469                
       8200                                0.84320                                          -0.07573                                      2767.37123                                         18200.08905                                    2547.48956                
       8300                                0.87875                                          -0.06554                                      2884.04400                                         18518.89149                                    2593.27555                
       8400                                0.94322                                          -0.21396                                      3095.64551                                         18794.84151                                    2631.17820                
       8500                                0.96889                                           0.44997                                      3179.88583                                         18843.18251                                    2640.14818                
       8600                                0.88987                                          -0.05780                                      2920.54970                                         18783.45605                                    2650.00714                
       8700                                0.82806                                          -0.51214                                      2717.69792                                         18665.64227                                    2670.09756                
       8800                                0.85577                                          -0.20537                                      2808.64323                                         18604.09959                                    2642.61169                
       8900                                0.93874                                           0.74806                                      3080.95512                                         18604.35141                                    2572.22918                
       9000                                0.95778                                           0.63210                                      3143.44648                                         18499.88481                                    2548.83183                
       9100                                0.84636                                           0.24217                                      2777.74925                                         18622.71144                                    2570.42831                
       9200                                0.82030                                          -0.49115                                      2692.21416                                         18644.52842                                    2594.60624                
       9300                                0.85908                                          -0.08015                                      2819.49712                                         18912.71281                                    2594.84722                
       9400                                0.96014                                           0.07126                                      3151.18810                                         19154.10877                                    2593.01650                
       9500                                0.95310                                           0.31754                                      3128.07664                                         19418.02802                                    2605.74769                
       9600                                0.90071                                           0.00654                                      2956.12786                                         19396.24829                                    2621.57021                
       9700                                0.84258                                          -0.69491                                      2765.33464                                         19398.47286                                    2635.04199                
       9800                                0.86939                                          -0.30372                                      2853.35176                                         19454.19906                                    2613.68411                
       9900                                0.90721                                           0.41047                                      2977.47409                                         19692.02920                                    2584.10751                
       10000                               0.94566                                           0.42208                                      3103.65993                                         19832.30715                                    2560.95464                
       10100                               0.89997                                          -0.06119                                      2953.69787                                         19827.34401                                    2587.36012                
       10200                               0.82825                                          -0.25566                                      2718.30010                                         19891.68919                                    2614.82636                
       10300                               0.88569                                          -0.04068                                      2906.83788                                         19958.64812                                    2593.09418                
       10400                               0.94114                                           0.25481                                      3088.80784                                         20281.19193                                    2572.73511                
       10500                               0.95982                                           0.05511                                      3150.14531                                         20254.93018                                    2568.61246                
       10600                               0.86735                                          -0.08590                                      2846.63062                                         20379.32511                                    2583.49087                
       10700                               0.85441                                          -0.25620                                      2804.18803                                         20385.61774                                    2567.20546                
       10800                               0.88544                                           0.41354                                      2906.02248                                         20492.90152                                    2548.54388                
       10900                               0.91415                                           0.34392                                      3000.25360                                         20674.13599                                    2554.27262                
       11000                               0.90130                                          -0.10318                                      2958.07553                                         20859.22064                                    2569.90522                
       11100                               0.87252                                           0.17844                                      2863.60480                                         20943.93954                                    2581.40406                
       11200                               0.86319                                           0.06928                                      2832.97605                                         21037.01629                                    2581.00521                
       11300                               0.89055                                          -0.04513                                      2922.77939                                         21134.87829                                    2574.91862                
       11400                               0.91273                                           0.04291                                      2995.59159                                         21263.63691                                    2562.68214                
       11500                               0.92993                                           0.34186                                      3052.03580                                         21229.22335                                    2552.17970                
       11600                               0.89753                                           0.18153                                      2945.67893                                         21196.00142                                    2552.81028                
       11700                               0.87207                                          -0.36639                                      2862.15005                                         21152.99560                                    2561.90983                
       11800                               0.88047                                           0.02747                                      2889.69434                                         21170.03359                                    2552.39875                
       11900                               0.90562                                           0.07518                                      2972.24038                                         21396.61635                                    2547.30503                
       12000                               0.93393                                           0.36418                                      3065.16924                                         21364.71117                                    2541.53239                
       12100                               0.88732                                          -0.19872                                      2912.17211                                         21462.04929                                    2559.29967                
       12200                               0.84976                                          -0.47070                                      2788.92500                                         21549.27807                                    2586.36442                
       12300                               0.89717                                          -0.23199                                      2944.50567                                         21513.92809                                    2565.33650                
       12400                               0.94782                                           0.33704                                      3110.73241                                         21556.32604                                    2545.72321                
       12500                               0.93510                                           0.07844                                      3068.99587                                         21589.45622                                    2539.11776                
       12600                               0.89030                                           0.00841                                      2921.96615                                         21560.42362                                    2534.71855                
       12700                               0.86768                                           0.15983                                      2847.70985                                         21517.04674                                    2534.93418                
       12800                               0.87236                                          -0.17051                                      2863.08888                                         21653.96259                                    2540.83318                
       12900                               0.91140                                           0.29704                                      2991.21199                                         21828.81343                                    2534.97124                
       13000                               0.94528                                           0.15435                                      3102.40655                                         21881.60014                                    2540.01931                
       13100                               0.90898                                          -0.05275                                      2983.27785                                         21972.22362                                    2558.43543                
       13200                               0.85234                                          -0.36044                                      2797.39258                                         22052.05733                                    2566.91007                
       13300                               0.86022                                          -0.21822                                      2823.25281                                         22018.75757                                    2569.46746                
       13400                               0.90699                                          -0.22903                                      2976.75094                                         22050.63344                                    2559.00958                
       13500                               0.91229                                           0.10580                                      2994.13941                                         22194.94381                                    2553.14660                
       13600                               0.89523                                           0.05224                                      2938.13326                                         22231.87190                                    2566.88964                
       13700                               0.89781                                          -0.15644                                      2946.61653                                         22149.54047                                    2564.60249                
       13800                               0.90314                                          -0.02373                                      2964.11364                                         22099.19820                                    2549.46449                
       13900                               0.90424                                           0.06599                                      2967.70101                                         22180.50462                                    2534.99633                
       14000                               0.90183                                          -0.19112                                      2959.80292                                         22233.34825                                    2534.92694                
       14100                               0.91059                                           0.16066                                      2988.56537                                         22325.28848                                    2523.60027                
       14200                               0.89046                                          -0.05267                                      2922.49803                                         22444.94382                                    2542.75482                
       14300                               0.87623                                          -0.31591                                      2875.78451                                         22583.56734                                    2565.05811                
       14400                               0.88636                                          -0.22058                                      2909.04329                                         22769.66011                                    2585.43585                
       14500                               0.91918                                          -0.00283                                      3016.74749                                         22920.11429                                    2587.78765                
       14600                               0.94528                                           0.12701                                      3102.42528                                         22964.70514                                    2576.56032                
